N. ORD.;TRATTO;X (mm);Y (mm);DISTANZA (mm);TEMPO (msec);PRESSIONE (%);VELOCITA (mm/sec);ACCELERAZIONE (mm/sec^2)
1;1;22,43;26,03;0,00;0;53,18;0,0;0,0
2;1;22,13;25,67;0,47;5;53,67;93,7;18744,6
3;1;21,89;25,45;0,33;10;53,76;65,1;-5721,5
4;1;21,68;25,37;0,22;15;54,74;44,9;-4034,2
5;1;21,48;25,42;0,21;20;56,40;41,2;-742,7
6;1;21,28;25,61;0,28;25;59,24;55,2;2788,3
7;1;21,07;25,89;0,35;30;63,25;70,0;2965,5
8;1;20,88;26,32;0,47;35;66,57;94,0;4804,3
9;1;20,72;26,88;0,58;40;69,89;116,5;4492,1
10;1;20,61;27,54;0,67;45;72,34;133,8;3467,8
11;1;20,56;28,25;0,71;50;73,90;142,4;1706,2
12;1;20,59;28,96;0,71;55;75,17;142,1;-45,0
13;1;20,73;29,64;0,69;60;76,15;138,9;-654,9
14;1;21,00;30,27;0,69;65;76,74;137,1;-353,7
15;1;21,42;30,83;0,70;70;77,22;140,0;583,2
16;1;21,98;31,29;0,72;75;77,71;144,9;988,3
17;1;22,64;31,57;0,72;80;78,49;143,4;-310,8
18;1;23,38;31,66;0,75;85;79,18;149,1;1140,6
19;1;24,18;31,55;0,81;90;79,67;161,5;2483,0
20;1;24,99;31,25;0,86;95;80,06;172,8;2249,7
21;1;25,76;30,79;0,90;100;80,16;179,4;1326,7
22;1;26,47;30,23;0,90;105;80,35;180,9;293,1
23;1;27,07;29,57;0,89;110;80,55;178,4;-492,1
24;1;27,57;28,86;0,87;115;80,65;173,7;-943,0
25;1;27,96;28,11;0,85;120;81,13;169,1;-922,0
26;1;28,25;27,37;0,79;125;81,13;159,0;-2021,8
27;1;28,44;26,65;0,74;130;81,33;148,9;-2005,9
28;1;28,53;25,99;0,67;135;81,43;133,2;-3141,6
29;1;28,51;25,39;0,60;140;81,33;120,1;-2631,0
30;1;28,39;24,83;0,57;145;81,43;114,5;-1104,8
31;1;28,15;24,33;0,55;150;81,62;110,9;-723,8
32;1;27,81;23,88;0,56;155;81,52;112,8;375,5
33;1;27,37;23,51;0,57;160;81,23;115,0;435,5
34;1;26,86;23,23;0,58;165;81,33;116,4;276,6
35;1;26,30;23,06;0,59;170;81,43;117,0;137,1
36;1;25,71;23,00;0,59;175;81,62;118,6;312,3
37;1;25,12;23,05;0,59;180;82,21;118,4;-37,1
38;1;24,55;23,22;0,59;185;82,80;119,0;107,8
39;1;24,04;23,53;0,60;190;83,48;119,4;80,6
