N. ORD.;TRATTO;X (mm);Y (mm);DISTANZA (mm);TEMPO (msec);PRESSIONE (%);VELOCITA (mm/sec);ACCELERAZIONE (mm/sec^2)
40;1;23,62;23,97;0,61;195;84,36;121,7;458,1
41;1;23,31;24,51;0,62;200;85,53;124,5;575,2
42;1;23,15;25,11;0,62;205;86,51;124,2;-67,5
43;1;23,11;25,74;0,63;210;87,88;126,3;412,1
44;1;23,20;26,42;0,69;215;89,15;137,2;2186,5
45;1;23,40;27,13;0,74;220;90,13;147,5;2068,1
46;1;23,71;27,86;0,79;225;91,20;158,6;2218,6
47;1;24,14;28,56;0,82;230;91,50;164,3;1137,1
48;1;24,68;29,18;0,82;235;91,69;164,4;26,8
49;1;25,33;29,68;0,82;240;91,89;164,0;-85,2
50;1;26,07;30,03;0,82;245;91,69;163,7;-58,6
51;1;26,87;30,22;0,82;250;91,89;164,5;146,3
52;1;27,69;30,27;0,82;255;92,47;164,3;-29,2
53;1;28,47;30,18;0,79;260;92,47;157,0;-1453,9
54;1;29,18;29,98;0,74;265;92,67;147,5;-1901,8
55;1;29,80;29,69;0,68;270;92,96;136,9;-2126,4
56;1;30,35;29,31;0,67;275;92,77;133,7;-638,6
57;1;30,81;28,89;0,62;280;93,06;124,6;-1824,4
58;1;31,18;28,45;0,57;285;93,26;115,0;-1920,2
59;1;31,44;28,03;0,49;290;93,35;98,8;-3237,1
60;1;31,59;27,65;0,41;295;93,55;81,7;-3417,2
61;1;31,65;27,32;0,34;300;93,74;67,1;-2925,0
62;1;31,61;27,03;0,29;305;93,65;58,5;-1706,6
63;1;31,49;26,76;0,30;310;93,84;59,1;108,8
64;1;31,32;26,52;0,29;315;93,84;58,8;-54,3
65;1;31,08;26,33;0,31;320;93,74;61,2;479,8
66;1;30,81;26,18;0,31;325;93,65;61,8;110,6
67;1;30,51;26,05;0,33;330;93,55;65,4;723,5
68;1;30,22;25,98;0,30;335;93,65;59,7;-1145,1
69;1;29,95;25,94;0,27;340;93,84;54,6;-1015,3
70;1;29,71;25,99;0,25;345;93,94;49,0;-1111,8
71;1;29,51;26,13;0,24;350;93,94;48,8;-40,9
72;1;29,35;26,36;0,28;355;93,84;56,0;1441,9
73;1;29,24;26,66;0,32;360;93,84;63,9;1574,1
74;1;29,18;27,01;0,36;365;94,04;71,0;1423,0
75;1;29,18;27,39;0,38;370;94,23;76,0;995,8
76;1;29,23;27,80;0,41;375;94,43;82,6;1321,5
77;1;29,35;28,20;0,42;380;94,62;83,5;183,0
78;1;29,55;28,59;0,44;385;94,43;87,7;827,2
79;1;29,82;28,95;0,45;390;94,43;90,0;468,3
80;1;30,14;29,25;0,44;395;94,33;87,7;-454,6
81;1;30,50;29,48;0,43;400;94,62;85,4;-457,4
82;1;30,88;29,64;0,41;405;95,01;82,5;-595,6
83;1;31,28;29,72;0,41;410;95,31;81,6;-175,6
84;1;31,70;29,75;0,42;415;95,80;84,2;525,9
85;1;32,11;29,72;0,41;420;95,70;82,2;-399,0
86;1;32,51;29,65;0,41;425;95,80;81,2;-200,7
87;1;32,86;29,55;0,36;430;95,99;72,8;-1682,9
88;1;33,17;29,43;0,33;435;95,80;66,5;-1263,6
89;1;33,41;29,29;0,28;440;95,99;55,6;-2182,7
90;1;33,60;29,15;0,24;445;96,29;47,2;-1673,6
91;1;33,73;29,04;0,17;450;96,29;34,1;-2628,6
92;1;33,81;28,93;0,14;455;96,68;27,2;-1371,2
93;1;33,82;28,92;0,01;480;95,70;0,6;-1065,5
94;1;33,81;28,93;0,01;490;95,50;1,4;84,9
95;1;33,74;29,07;0,16;495;95,70;31,3;5978,1
96;1;33,70;29,24;0,17;500;95,80;34,9;724,7
97;1;33,68;29,44;0,20;505;95,80;40,2;1054,2
98;1;33,69;29,66;0,22;510;95,89;44,0;769,2
99;1;33,74;29,90;0,25;515;95,89;49,0;997,0
100;1;33,83;30,15;0,27;520;95,89;53,1;822,1
101;1;33,95;30,35;0,23;525;95,60;46,6;-1298,7
102;1;34,10;30,52;0,23;530;95,60;45,3;-260,9
103;1;34,26;30,63;0,19;535;95,50;38,8;-1302,0
104;1;34,42;30,70;0,17;540;95,60;34,9;-780,9
105;1;34,59;30,74;0,17;545;95,80;34,9;0,0
106;1;34,76;30,73;0,17;550;95,80;34,1;-173,9
107;1;34,94;30,67;0,19;555;95,99;37,9;777,7
108;1;35,13;30,57;0,21;560;96,19;42,9;998,9
109;1;35,30;30,46;0,20;565;96,29;40,5;-489,0
110;1;35,45;30,33;0,20;570;96,48;39,7;-159,6
111;1;35,59;30,19;0,20;575;96,97;39,6;-20,2
112;1;35,71;30,06;0,18;580;97,26;35,4;-842,9
113;1;35,81;29,93;0,16;585;97,26;32,8;-516,2
114;1;35,89;29,82;0,14;590;97,26;27,2;-1119,9
115;1;35,97;29,75;0,11;615;96,77;4,3;-918,0
116;1;36,07;29,64;0,15;630;96,77;9,9;377,2
117;1;36,16;29,54;0,13;635;96,77;26,9;3399,3
118;1;36,25;29,43;0,14;640;96,68;28,4;303,6
119;1;36,34;29,31;0,15;645;96,58;30,0;314,9
120;1;36,42;29,13;0,20;650;96,77;39,4;1879,1
121;1;36,49;28,88;0,26;655;96,77;51,9;2505,5
122;1;36,55;28,57;0,32;660;96,97;63,2;2245,5
123;1;36,59;28,20;0,37;665;97,26;74,4;2256,1
124;1;36,61;27,81;0,39;670;97,26;78,1;734,3
125;1;36,62;27,40;0,41;675;97,26;82,0;784,4
126;1;36,60;26,94;0,46;680;97,17;92,1;2012,5
127;1;36,56;26,48;0,46;685;97,26;92,3;52,1
128;1;36,51;25,98;0,50;690;97,17;100,5;1630,3
129;1;36,44;25,50;0,49;695;96,87;97,0;-696,7
130;1;36,35;25,03;0,48;700;96,87;95,7;-261,5
131;1;36,26;24,60;0,44;705;96,77;87,9;-1568,9
132;1;36,18;24,23;0,38;710;96,87;75,7;-2430,7
133;1;36,11;23,99;0,25;715;96,77;50,0;-5142,0
134;1;36,10;24,16;0,17;735;95,31;8,5;-2074,3
135;1;36,10;24,45;0,29;740;95,50;58,0;9897,1
136;1;36,12;24,83;0,38;745;95,41;76,1;3621,0
137;1;36,16;25,27;0,44;750;95,80;88,4;2451,5
138;1;36,23;25,74;0,48;755;96,19;95,0;1334,8
139;1;36,31;26,23;0,50;760;96,38;99,3;852,1
140;1;36,44;26,76;0,55;765;96,77;109,1;1968,9
141;1;36,60;27,33;0,59;770;96,77;118,4;1852,8
142;1;36,79;27,90;0,60;775;96,77;120,2;352,1
143;1;37,03;28,44;0,59;780;96,97;118,2;-396,1
144;1;37,28;28,91;0,53;785;97,26;106,5;-2343,1
145;1;37,55;29,29;0,47;790;97,56;93,2;-2648,0
146;1;37,83;29,60;0,42;795;98,24;83,5;-1936,9
147;1;38,11;29,83;0,36;800;98,24;72,5;-2215,1
148;1;38,39;29,97;0,31;805;98,24;62,6;-1972,2
149;1;38,65;30,02;0,26;810;98,34;53,0;-1931,4
150;1;38,89;30,02;0,24;815;98,34;48,0;-990,6
151;1;39,12;29,97;0,24;820;98,63;47,1;-185,1
152;1;39,34;29,90;0,23;825;98,73;46,2;-180,2
153;1;39,52;29,83;0,19;830;98,63;38,6;-1509,4
154;1;39,70;29,76;0,19;835;98,73;38,6;0,0
155;1;39,84;29,68;0,16;840;98,92;32,2;-1275,5
156;1;39,96;29,61;0,14;845;98,92;27,8;-892,8
157;1;40,08;29,55;0,13;850;98,83;26,8;-190,4
158;1;40,22;29,57;0,14;865;98,14;9,4;-1160,3
159;1;40,32;29,63;0,12;870;98,04;23,3;2779,1
160;1;40,43;29,71;0,14;880;97,95;13,6;-972,2
161;1;40,52;29,77;0,11;885;97,95;21,6;1606,4
162;1;40,64;29,82;0,13;895;97,46;13,0;-863,3
163;1;40,65;29,81;0,01;920;97,65;0,6;-497,4
164;1;40,66;29,81;0,01;925;97,65;2,0;286,9
165;1;40,66;29,80;0,01;930;97,75;2,0;0,0
166;1;40,62;29,65;0,16;935;97,56;31,0;5809,7
167;1;40,54;29,53;0,14;940;97,36;28,8;-440,8
168;1;40,43;29,45;0,14;945;97,36;27,2;-328,3
169;1;40,31;29,41;0,13;950;97,36;25,3;-380,9
170;1;40,15;29,46;0,17;960;97,56;16,8;-853,5
171;1;40,04;29,51;0,12;965;97,75;24,2;1480,6
172;1;39,97;29,62;0,13;975;98,04;13,0;-1112,8
173;1;40,02;29,82;0,21;985;97,75;20,6;757,7
174;1;40,13;30,00;0,21;990;97,75;42,2;4314,9
175;1;40,30;30,15;0,23;995;97,75;45,3;630,6
176;1;40,53;30,29;0,27;1000;97,85;53,9;1701,7
177;1;40,81;30,37;0,29;1005;97,46;58,2;877,8
178;1;41,15;30,43;0,35;1010;96,77;69,1;2162,0
179;1;41,51;30,47;0,36;1015;95,50;72,4;678,5
180;1;41,90;30,52;0,39;1020;93,06;78,6;1239,1
181;1;42,28;30,56;0,38;1025;89,15;76,4;-443,7
182;1;42,70;30,65;0,43;1030;80,65;85,9;1897,4
183;1;43,09;30,74;0,40;1035;59,43;80,0;-1171,4
184;1;43,48;30,79;0,39;1040;32,16;78,6;-282,3
185;1;43,88;30,84;0,40;1045;6,74;80,6;396,8
186;;44,23;30,80;0,35;1055;0,00;80,6;396,8
187;;44,63;30,72;0,41;1060;0,00;81,6;192,3
188;;45,04;30,60;0,43;1065;0,00;85,4;771,1
189;;45,48;30,44;0,47;1070;0,00;93,6;1639,5
190;;45,96;30,24;0,52;1075;0,00;104,0;2072,5
191;;46,51;30,04;0,59;1080;0,00;117,0;2609,4
192;;47,07;29,82;0,60;1085;0,00;120,3;657,2
193;;47,66;29,62;0,62;1090;0,00;124,6;852,5
194;;48,27;29,42;0,64;1095;0,00;128,4;758,9
195;;48,86;29,22;0,62;1100;0,00;124,6;-758,9
196;;49,48;29,02;0,65;1105;0,00;130,3;1139,3
197;;50,11;28,80;0,67;1110;0,00;133,5;633,9
198;;50,75;28,60;0,67;1115;0,00;134,1;128,6
199;;51,38;28,39;0,66;1120;0,00;132,8;-257,8
200;;52,00;28,17;0,66;1125;0,00;131,6;-248,1
201;;52,61;27,97;0,64;1130;0,00;128,4;-637,0
202;;53,21;27,77;0,63;1135;0,00;126,5;-379,8
203;;53,80;27,59;0,62;1140;0,00;123,4;-624,3
204;;54,35;27,46;0,57;1145;0,00;113,0;-2067,7
205;;54,86;27,33;0,53;1150;0,00;105,3;-1553,9
206;;55,33;27,30;0,47;1155;0,00;94,2;-2214,1
207;;55,75;27,29;0,42;1160;0,00;84,0;-2033,5
208;;56,11;27,31;0,36;1165;0,00;72,1;-2382,6
209;;56,39;27,37;0,29;1170;0,00;57,3;-2967,9
210;;56,59;27,40;0,20;1175;0,00;40,4;-3364,8
211;;56,70;27,49;0,14;1180;0,00;28,4;-2404,4
212;;56,72;27,62;0,13;1185;0,00;26,3;-423,9
213;;56,67;27,80;0,19;1190;0,00;37,4;2211,4
214;;56,54;27,97;0,21;1195;0,00;42,8;1087,8
215;;56,36;28,10;0,22;1200;0,00;44,4;321,1
216;;56,14;28,18;0,23;1205;0,00;46,8;482,3
217;;55,90;28,21;0,24;1210;0,00;48,4;310,9
218;;55,62;28,19;0,28;1215;0,00;56,1;1553,8
219;;55,30;28,17;0,32;1220;0,00;64,1;1596,4
220;;54,95;28,15;0,35;1225;0,00;70,1;1197,9
221;;54,56;28,11;0,39;1230;0,00;78,4;1659,0
222;;54,17;28,08;0,39;1235;0,00;78,2;-35,8
223;;53,79;28,05;0,38;1240;0,00;76,2;-398,8
224;;53,43;28,05;0,36;1245;0,00;72,0;-847,3
225;;53,09;28,05;0,34;1250;0,00;68,0;-800,0
226;;52,78;28,09;0,31;1255;0,00;62,5;-1097,2
227;;52,48;28,16;0,31;1260;0,00;61,6;-180,5
228;;52,20;28,26;0,30;1265;0,00;59,5;-429,5
229;;51,94;28,42;0,31;1270;0,00;61,1;318,6
230;;51,69;28,61;0,31;1275;0,00;62,8;348,8
231;;51,48;28,83;0,30;1280;0,00;60,8;-394,7
232;;51,40;29,08;0,26;1285;0,00;52,5;-1666,0
233;;51,23;29,23;0,23;1290;0,00;45,3;-1430,9
234;;51,05;29,35;0,22;1295;0,00;43,3;-415,3
235;;50,81;29,42;0,25;1300;0,00;50,0;1346,7
236;;50,48;29,49;0,34;1305;0,00;67,5;3493,7
237;2;50,28;29,62;0,24;1315;59,14;67,5;3493,7
238;2;50,21;29,77;0,17;1320;63,15;33,1;-6872,5
239;2;50,28;29,93;0,17;1325;66,96;34,9;364,5
240;2;50,43;30,03;0,18;1330;70,28;36,1;225,4
241;2;50,64;30,09;0,22;1335;73,51;43,7;1525,0
242;2;50,86;30,07;0,22;1340;75,76;44,2;100,2
243;2;51,12;30,00;0,27;1345;77,71;53,9;1934,0
244;2;51,41;29,86;0,32;1350;79,08;64,4;2110,7
245;2;51,76;29,65;0,41;1355;79,77;81,6;3445,7
246;2;52,15;29,34;0,50;1360;80,45;99,6;3601,2
247;2;52,57;28,91;0,60;1365;80,65;120,2;4115,4
248;2;53,00;28,43;0,64;1370;81,04;128,9;1734,2
249;2;53,42;27,90;0,68;1375;81,43;135,2;1272,1
250;2;53,80;27,34;0,68;1380;81,72;135,4;20,7
251;2;54,12;26,80;0,63;1385;82,40;125,5;-1962,5
252;2;54,37;26,24;0,61;1390;82,80;122,7;-577,0
253;2;54,53;25,72;0,54;1395;83,28;108,8;-2768,4
254;2;54,60;25,22;0,50;1400;83,58;101,0;-1567,3
255;2;54,59;24,73;0,49;1405;83,87;98,0;-591,0
256;2;54,48;24,24;0,50;1410;84,26;100,4;483,7
257;2;54,29;23,75;0,53;1415;84,56;105,1;934,1
258;2;54,03;23,29;0,53;1420;84,85;105,7;113,9
259;2;53,70;22,90;0,51;1425;84,65;102,2;-700,5
260;2;53,34;22,60;0,47;1430;84,56;93,7;-1690,7
261;2;52,94;22,42;0,44;1435;84,26;87,7;-1199,2
262;2;52,53;22,38;0,41;1440;84,16;82,4;-1067,5
263;2;52,10;22,47;0,44;1445;84,16;87,9;1094,8
264;2;51,67;22,75;0,51;1450;84,75;102,6;2952,4
265;2;51,27;23,16;0,57;1455;85,53;114,6;2386,9
266;2;50,90;23,70;0,65;1460;86,51;130,9;3272,0
267;2;50,59;24,35;0,72;1465;87,78;144,0;2621,6
268;2;50,35;25,06;0,75;1470;88,76;149,9;1173,1
269;2;50,17;25,86;0,82;1475;89,83;164,0;2821,3
270;2;50,10;26,76;0,90;1480;90,81;180,5;3308,7
271;2;50,15;27,74;0,98;1485;91,59;196,3;3142,3
272;2;50,28;28,73;1,00;1490;92,08;199,7;689,0
273;2;50,52;29,67;0,97;1495;92,57;194,0;-1133,8
274;2;50,81;30,50;0,88;1500;92,77;175,8;-3638,0
275;2;51,15;31,18;0,76;1505;92,86;152,1;-4757,6
276;2;51,53;31,70;0,64;1510;92,96;128,8;-4648,5
277;2;51,94;32,09;0,57;1515;93,16;113,2;-3127,5
278;2;52,36;32,30;0,47;1520;93,45;93,9;-3851,5
279;2;52,81;32,36;0,45;1525;93,74;90,8;-623,7
280;2;53,29;32,25;0,49;1530;94,13;98,5;1538,4
281;2;53,79;31,97;0,57;1535;94,53;114,6;3224,8
282;2;54,29;31,56;0,65;1540;94,72;129,3;2941,8
283;2;54,78;31,03;0,72;1545;95,01;144,4;3007,9
284;2;55,22;30,40;0,77;1550;95,21;153,7;1865,5
285;2;55,61;29,72;0,78;1555;95,11;156,8;618,4
286;2;55,95;29,01;0,79;1560;95,21;157,4;132,4
287;2;56,21;28,32;0,74;1565;95,01;147,5;-1994,0
288;2;56,40;27,68;0,67;1570;94,82;133,5;-2790,1
289;2;56,51;27,05;0,64;1575;94,72;127,9;-1123,1
290;2;56,53;26,47;0,58;1580;94,62;116,1;-2367,5
291;2;56,48;25,92;0,55;1585;94,33;110,5;-1123,1
292;2;56,36;25,44;0,49;1590;94,04;99,0;-2299,8
293;2;56,20;25,06;0,41;1595;93,74;82,5;-3298,5
294;2;56,01;24,82;0,31;1600;92,96;61,2;-4248,2
295;2;55,81;24,73;0,22;1605;92,67;43,9;-3471,5
296;2;55,60;24,81;0,22;1610;92,38;44,9;216,2
297;2;55,38;25,08;0,35;1615;92,38;69,7;4942,4
298;2;55,14;25,49;0,48;1620;93,06;95,0;5071,9
299;2;54,92;26,04;0,59;1625;93,84;118,5;4691,6
300;2;54,74;26,75;0,73;1630;94,62;146,5;5603,7
301;2;54,60;27,53;0,79;1635;95,31;158,5;2400,1
302;2;54,52;28,38;0,85;1640;95,80;170,8;2451,7
303;2;54,48;29,29;0,91;1645;95,89;182,2;2284,9
304;2;54,49;30,20;0,91;1650;96,19;182,0;-33,0
305;2;54,54;31,12;0,92;1655;96,29;184,3;452,1
306;2;54,62;32,02;0,90;1660;96,38;180,7;-712,4
307;2;54,73;32,85;0,84;1665;96,19;167,5;-2651,6
308;2;54,86;33,59;0,75;1670;96,29;150,3;-3437,0
309;2;55,00;34,19;0,62;1675;96,09;123,2;-5408,6
310;2;55,13;34,66;0,49;1680;96,09;97,5;-5138,8
311;2;55,26;35,00;0,36;1685;96,58;72,8;-4945,7
312;2;55,38;35,20;0,23;1690;96,58;46,6;-5230,7
313;2;55,48;35,27;0,12;1695;96,77;24,4;-4446,9
314;2;55,59;35,23;0,12;1700;97,07;23,4;-200,7
315;2;55,70;35,07;0,19;1705;97,46;38,8;3084,7
316;2;55,83;34,83;0,27;1710;97,56;54,6;3151,3
317;2;55,97;34,53;0,33;1715;97,75;66,2;2324,5
318;2;56,13;34,20;0,37;1720;97,56;73,3;1427,3
319;2;56,29;33,88;0,36;1725;97,07;71,6;-358,9
320;2;56,45;33,55;0,37;1730;96,77;73,3;358,9
321;2;56,60;33,25;0,34;1735;96,48;67,1;-1253,3
322;2;56,74;32,98;0,30;1740;96,68;60,8;-1250,9
323;2;56,86;32,76;0,25;1745;96,58;50,1;-2141,6
324;2;56,96;32,60;0,19;1750;96,77;37,7;-2476,8
325;2;57,04;32,47;0,15;1755;96,77;30,5;-1441,4
326;2;57,11;32,39;0,11;1765;96,29;10,6;-1989,9
327;2;57,12;32,40;0,01;1790;96,19;0,6;-402,6
328;2;57,26;32,38;0,14;1795;96,29;28,3;5543,7
329;2;57,40;32,32;0,15;1805;96,38;15,2;-1305,3
330;2;57,50;32,23;0,13;1810;96,38;26,9;2335,1
331;2;57,59;32,15;0,12;1815;96,58;24,1;-564,8
332;2;57,66;32,05;0,12;1820;96,58;24,4;66,0
333;2;57,74;31,94;0,14;1825;96,48;27,2;558,0
334;2;57,80;31,85;0,11;1830;96,68;21,6;-1113,9
335;2;57,86;31,74;0,13;1840;96,38;12,5;-910,3
336;2;57,93;31,84;0,12;1865;95,89;4,9;-305,9
337;2;58,00;32,03;0,20;1870;96,19;40,5;7122,9
338;2;58,08;32,27;0,25;1875;96,29;50,6;2019,9
339;2;58,18;32,58;0,33;1880;96,29;65,1;2909,9
340;2;58,32;32,87;0,32;1885;96,58;64,4;-148,2
341;2;58,48;33,09;0,27;1890;96,58;54,4;-1999,8
342;2;58,65;33,23;0,22;1895;96,77;44,0;-2072,1
343;2;58,84;33,32;0,21;1900;96,87;42,0;-399,6
344;2;59,04;33,36;0,20;1905;96,87;40,8;-251,1
345;2;59,24;33,34;0,20;1910;96,87;40,2;-118,5
346;2;59,44;33,24;0,22;1915;97,07;44,7;904,4
347;2;59,65;33,08;0,26;1920;97,17;52,8;1616,0
348;2;59,87;32,81;0,35;1925;97,26;69,7;3371,0
349;2;60,08;32,46;0,41;1930;97,26;81,6;2395,4
350;2;60,27;32,06;0,44;1935;97,65;88,6;1386,6
351;2;60,44;31,63;0,46;1940;97,65;92,5;782,1
352;2;60,57;31,19;0,46;1945;97,85;91,8;-143,3
353;2;60,69;30,74;0,47;1950;97,75;93,1;276,9
354;2;60,79;30,26;0,49;1955;97,65;98,1;983,2
355;2;60,87;29,73;0,54;1960;97,75;107,2;1827,9
356;2;60,94;29,19;0,54;1965;97,75;108,9;340,6
357;2;60,97;28,61;0,58;1970;98,04;116,2;1450,3
358;2;60,96;28,01;0,60;1975;97,85;120,0;772,3
359;2;60,90;27,46;0,55;1980;97,75;110,7;-1872,8
360;2;60,80;26,92;0,55;1985;97,26;109,8;-163,3
361;2;60,66;26,42;0,52;1990;96,68;103,8;-1198,0
362;2;60,50;25,99;0,46;1995;96,38;91,8;-2417,1
363;2;60,34;25,64;0,38;2000;96,09;77,0;-2958,6
364;2;60,19;25,41;0,27;2005;95,80;54,9;-4409,9
365;2;60,08;25,29;0,16;2010;95,80;32,6;-4472,1
366;2;59,98;25,46;0,20;2025;95,80;13,1;-1293,9
367;2;59,93;25,72;0,26;2030;95,80;53,0;7960,8
368;2;59,91;26,07;0,35;2035;95,99;70,1;3432,3
369;2;59,93;26,51;0,44;2040;96,19;88,1;3595,3
370;2;59,98;27,00;0,49;2045;96,48;98,5;2083,6
371;2;60,07;27,54;0,55;2050;96,87;109,5;2196,2
372;2;60,19;28,12;0,59;2055;97,46;118,5;1793,4
373;2;60,34;28,72;0,62;2060;97,85;123,7;1047,3
374;2;60,51;29,32;0,62;2065;98,24;124,7;206,1
375;2;60,70;29,87;0,58;2070;98,34;116,4;-1669,0
376;2;60,89;30,36;0,53;2075;98,34;105,1;-2253,8
377;2;61,09;30,74;0,43;2080;98,34;85,9;-3845,2
378;2;61,28;31,05;0,36;2085;98,34;72,7;-2633,0
379;2;61,45;31,26;0,27;2090;98,63;54,0;-3736,3
380;2;61,60;31,40;0,21;2095;98,73;41,0;-2600,1
381;2;61,70;31,48;0,13;2100;98,92;25,6;-3084,8
382;2;61,82;31,45;0,12;2120;99,32;6,2;-971,4
383;2;61,94;31,37;0,14;2135;99,02;9,6;228,7
384;2;62,05;31,33;0,12;2145;98,73;11,7;209,0
385;2;62,19;31,34;0,14;2155;98,53;14,0;233,1
386;2;62,35;31,39;0,17;2165;98,24;16,8;272,7
387;2;62,49;31,43;0,15;2170;98,24;29,1;2471,5
388;2;62,63;31,47;0,15;2175;98,14;29,1;0,0
389;2;62,77;31,50;0,14;2180;98,24;28,6;-97,0
390;2;62,92;31,51;0,15;2185;98,34;30,1;286,2
391;2;63,07;31,49;0,15;2190;98,44;30,3;39,8
392;2;63,23;31,47;0,16;2195;98,83;32,2;396,7
393;2;63,40;31,42;0,18;2200;98,73;35,4;638,2
394;2;63,58;31,36;0,19;2205;98,63;37,9;501,4
395;2;63,76;31,26;0,21;2210;98,73;41,2;647,0
396;2;63,93;31,16;0,20;2215;98,34;39,4;-347,3
397;2;64,09;31,08;0,18;2220;98,44;35,8;-733,8
398;2;64,24;30,99;0,17;2225;98,34;35,0;-158,3
399;2;64,38;30,92;0,16;2230;98,24;31,3;-736,2
400;2;64,50;30,85;0,14;2235;98,24;27,8;-704,0
401;2;64,59;30,79;0,11;2240;98,14;21,6;-1230,3
402;2;64,69;30,71;0,13;2255;97,75;8,5;-873,1
403;2;64,70;30,70;0,01;2280;97,36;0,6;-318,9
404;2;64,69;30,69;0,01;2290;97,26;1,4;84,9
405;2;64,56;30,67;0,13;2295;96,97;26,3;4978,3
406;2;64,35;30,70;0,21;2305;96,38;21,2;-509,3
407;2;64,18;30,75;0,18;2310;96,38;35,4;2845,4
408;2;64,03;30,83;0,17;2315;96,68;34,0;-288,0
409;2;63,91;30,95;0,17;2320;96,68;33,9;-11,8
410;2;63,81;31,12;0,20;2325;96,87;39,4;1101,0
411;2;63,74;31,31;0,20;2330;96,68;40,5;210,1
412;2;63,70;31,53;0,22;2335;96,58;44,7;844,9
413;2;63,69;31,75;0,22;2340;96,58;44,0;-135,2
414;2;63,70;31,98;0,23;2345;96,77;46,0;399,6
415;2;63,75;32,21;0,24;2350;97,07;47,1;206,2
416;2;63,84;32,42;0,23;2355;97,17;45,7;-276,0
417;2;63,96;32,60;0,22;2360;97,26;43,3;-485,6
418;2;64,12;32,69;0,18;2365;97,46;36,7;-1310,3
419;2;64,30;32,74;0,19;2370;97,75;37,4;129,6
420;2;64,51;32,74;0,21;2375;97,85;42,0;927,4
421;2;64,74;32,68;0,24;2380;97,95;47,5;1107,9
422;2;64,99;32,57;0,27;2385;98,24;54,6;1417,3
423;2;65,26;32,40;0,32;2390;98,44;63,8;1837,2
424;2;65,52;32,15;0,36;2395;98,53;72,1;1665,3
425;2;65,77;31,87;0,38;2400;98,83;75,1;586,9
426;2;65,99;31,55;0,39;2405;98,83;77,7;518,5
427;2;66,18;31,24;0,36;2410;98,73;72,7;-989,5
428;2;66,33;30,96;0,32;2415;99,12;63,5;-1837,8
429;2;66,45;30,69;0,30;2420;99,22;59,1;-887,3
430;2;66,54;30,47;0,24;2425;99,22;47,5;-2310,7
431;2;66,59;30,26;0,22;2430;99,32;43,2;-873,1
432;2;66,61;30,07;0,19;2435;99,22;38,2;-992,8
433;2;66,59;29,92;0,15;2440;99,22;30,3;-1588,9
434;2;66,54;29,80;0,13;2445;99,12;26,0;-853,1
435;2;66,45;29,71;0,13;2455;98,73;12,7;-1327,2
436;2;66,33;29,75;0,13;2465;98,24;12,6;-7,9
437;2;66,23;29,86;0,15;2470;98,24;29,7;3416,6
438;2;66,15;30,06;0,22;2475;98,14;43,1;2669,8
