N. ORD.;TRATTO;X (mm);Y (mm);DISTANZA (mm);TEMPO (msec);PRESSIONE (%);VELOCITA (mm/sec);ACCELERAZIONE (mm/sec^2)
77;1;25,27;26,78;0,53;380;92,47;106,3;1065,2
78;1;25,42;27,38;0,62;385;92,57;123,7;3478,3
79;1;25,66;28,02;0,68;390;92,77;136,7;2602,2
80;1;25,97;28,66;0,71;395;92,57;142,2;1104,2
81;1;26,35;29,27;0,72;400;92,86;143,7;302,1
82;1;26,78;29,78;0,67;405;93,06;133,4;-2063,8
83;1;27,26;30,19;0,63;410;93,26;126,3;-1432,6
84;1;27,79;30,49;0,61;415;93,65;121,8;-890,1
85;1;28,35;30,65;0,58;420;93,94;116,5;-1064,3
86;1;28,92;30,71;0,57;425;93,84;114,6;-370,4
87;1;29,46;30,67;0,54;430;93,94;108,3;-1266,8
88;1;29,97;30,53;0,53;435;93,84;105,8;-504,5
89;1;30,43;30,34;0,50;440;93,84;99,5;-1246,9
90;1;30,85;30,08;0,49;445;93,84;98,8;-149,2
91;1;31,21;29,80;0,46;450;93,74;91,2;-1515,7
92;1;31,50;29,49;0,42;455;93,84;84,9;-1262,8
93;1;31,74;29,20;0,38;460;93,84;75,3;-1922,8
94;1;31,91;28,93;0,32;465;94,04;63,8;-2294,8
95;1;32,02;28,66;0,29;470;94,33;58,3;-1100,5
96;1;32,07;28,42;0,25;475;94,33;49,0;-1855,8
97;1;32,08;28,21;0,21;480;94,23;42,0;-1396,6
98;1;32,05;28,03;0,18;485;94,04;36,5;-1110,2
99;1;32,00;27,91;0,13;490;93,84;26,0;-2099,3
100;1;31,85;27,98;0,17;510;93,35;8,3;-886,2
101;1;31,75;28,10;0,16;515;93,45;31,2;4592,9
102;1;31,68;28,28;0,19;520;93,74;38,6;1477,1
103;1;31,63;28,53;0,25;525;93,84;51,0;2472,8
104;1;31,61;28,82;0,29;530;93,84;58,1;1429,5
105;1;31,63;29,15;0,33;535;93,84;66,1;1596,7
106;1;31,70;29,47;0,33;540;93,84;65,5;-121,5
107;1;31,84;29,78;0,34;545;94,04;68,0;503,2
108;1;32,05;30,03;0,33;550;94,23;65,3;-546,0
109;1;32,32;30,23;0,34;555;94,53;67,2;380,4
110;1;32,64;30,38;0,35;560;94,92;70,7;696,2
111;1;32,99;30,47;0,36;565;94,82;72,3;319,0
112;1;33,35;30,52;0,36;570;94,92;72,7;82,8
113;1;33,72;30,49;0,37;575;94,82;74,2;310,3
114;1;34,08;30,41;0,37;580;94,82;73,8;-97,3
115;1;34,43;30,27;0,38;585;95,01;75,4;327,2
116;1;34,75;30,12;0,35;590;95,31;70,7;-942,0
117;1;35,02;29,97;0,31;595;95,50;61,8;-1781,7
118;1;35,25;29,82;0,27;600;95,60;54,9;-1371,1
119;1;35,43;29,69;0,22;605;95,60;44,4;-2102,2
120;1;35,56;29,57;0,18;610;95,41;35,4;-1804,7
121;1;35,66;29,48;0,13;615;95,31;26,9;-1695,3
122;1;35,65;29,49;0,01;640;94,33;0,6;-1053,7
123;1;35,72;29,59;0,12;645;94,23;24,4;4769,5
124;1;35,76;29,75;0,16;650;94,43;33,0;1714,3
125;1;35,80;29,96;0,21;655;94,43;42,8;1954,1
126;1;35,83;30,23;0,27;660;94,43;54,3;2315,4
127;1;35,87;30,53;0,30;665;94,53;60,5;1239,7
128;1;35,92;30,83;0,30;670;94,53;60,8;59,3
129;1;35,99;31,09;0,27;675;94,82;53,9;-1395,2
130;1;36,08;31,30;0,23;680;94,82;45,7;-1631,4
131;1;36,18;31,47;0,20;685;94,92;39,4;-1249,7
132;1;36,28;31,60;0,16;690;95,31;32,8;-1328,7
133;1;36,39;31,67;0,13;695;95,21;26,1;-1345,1
134;1;36,52;31,70;0,13;700;95,31;26,7;121,3
135;1;36,66;31,65;0,15;705;95,80;29,7;609,8
136;1;36,82;31,56;0,18;710;95,80;36,7;1396,6
137;1;36,98;31,41;0,22;715;96,29;43,9;1429,7
138;1;37,15;31,20;0,27;720;96,38;54,0;2034,7
139;1;37,31;30,96;0,29;725;96,48;57,7;730,4
140;1;37,46;30,66;0,34;730;96,77;67,1;1878,6
141;1;37,58;30,33;0,35;735;96,87;70,2;629,2
142;1;37,68;29,98;0,36;740;97,17;72,8;514,6
143;1;37,75;29,61;0,38;745;97,17;75,3;502,3
144;1;37,79;29,21;0,40;750;97,07;80,4;1017,3
145;1;37,81;28,79;0,42;755;97,17;84,1;739,2
146;1;37,81;28,33;0,46;760;96,87;92,0;1581,0
147;1;37,79;27,87;0,46;765;96,87;92,1;17,4
148;1;37,77;27,40;0,47;770;96,97;94,1;399,6
149;1;37,72;26,98;0,42;775;96,77;84,6;-1898,4
150;1;37,65;26,62;0,37;780;96,97;73,3;-2248,9
151;1;37,57;26,31;0,32;785;96,77;64,0;-1863,4
152;1;37,48;26,09;0,24;790;96,58;47,5;-3298,4
153;1;37,42;25,94;0,16;795;96,19;32,3;-3045,7
154;1;37,35;26,05;0,13;810;95,99;8,7;-1574,6
155;1;37,31;26,24;0,19;815;96,29;38,8;6028,1
156;1;37,28;26,51;0,27;820;96,38;54,3;3099,9
157;1;37,27;26,84;0,33;825;96,38;66,0;2339,6
158;1;37,28;27,26;0,42;830;96,38;84,0;3598,7
159;1;37,31;27,71;0,45;835;96,68;90,2;1235,2
160;1;37,37;28,20;0,49;840;96,77;98,7;1706,4
161;1;37,46;28,72;0,53;845;97,07;105,5;1362,8
162;1;37,58;29,21;0,50;850;97,07;100,9;-930,0
163;1;37,75;29,67;0,49;855;97,07;98,1;-562,9
164;1;37,96;30,04;0,43;860;96,87;85,1;-2598,7
165;1;38,20;30,35;0,39;865;96,97;78,4;-1335,8
166;1;38,45;30,59;0,35;870;96,97;69,3;-1819,7
167;1;38,70;30,77;0,31;875;96,77;61,6;-1539,8
168;1;38,93;30,89;0,26;880;96,87;51,9;-1945,4
169;1;39,18;30,97;0,26;885;96,97;52,5;122,6
170;1;39,44;30,99;0,26;890;97,07;52,2;-68,8
171;1;39,71;30,97;0,27;895;97,26;54,1;398,9
172;1;40,00;30,91;0,30;900;97,46;59,2;1016,1
173;1;40,27;30,84;0,28;905;97,46;55,8;-688,6
174;1;40,53;30,77;0,27;910;97,56;53,9;-386,7
175;1;40,77;30,70;0,25;915;97,36;50,0;-770,3
176;1;40,99;30,67;0,22;920;97,17;44,4;-1118,6
177;1;41,19;30,64;0,20;925;97,26;40,4;-791,9
178;1;41,37;30,64;0,18;930;97,17;36,0;-889,5
179;1;41,54;30,67;0,17;935;97,26;34,5;-294,9
180;1;41,69;30,72;0,16;940;97,46;31,6;-580,5
181;1;41,83;30,78;0,15;945;97,36;30,5;-231,9
182;1;41,96;30,85;0,15;950;97,17;29,5;-186,7
183;1;42,09;30,91;0,14;955;96,77;28,6;-178,8
184;1;42,21;30,97;0,13;960;96,48;26,8;-360,6
185;1;42,32;31,01;0,12;965;96,38;23,4;-684,7
186;1;42,42;31,06;0,11;970;96,58;22,4;-209,7
187;1;42,56;31,01;0,15;990;96,87;7,4;-746,4
188;1;42,65;30,95;0,11;995;96,97;21,6;2840,1
189;1;42,67;30,81;0,14;1005;96,77;14,1;-749,1
190;1;42,60;30,61;0,21;1015;96,77;21,2;704,7
191;1;42,51;30,44;0,19;1020;96,77;38,5;3456,2
192;1;42,38;30,29;0,20;1025;97,07;39,7;245,6
193;1;42,24;30,18;0,18;1030;97,36;35,6;-818,0
194;1;42,10;30,11;0,16;1035;97,17;31,3;-860,8
195;1;41,98;30,07;0,13;1040;97,36;25,3;-1201,3
196;1;41,83;30,16;0,17;1050;97,07;17,5;-780,5
197;1;41,72;30,28;0,16;1055;97,36;32,6;3013,0
198;1;41,64;30,45;0,19;1060;97,26;37,6;1003,8
199;1;41,60;30,64;0,19;1065;97,75;38,8;251,3
200;1;41,60;30,83;0,19;1070;97,95;38,0;-166,6
201;1;41,65;31,04;0,22;1075;97,85;43,2;1034,8
202;1;41,75;31,23;0,21;1080;97,85;42,9;-46,4
203;1;41,92;31,39;0,23;1085;97,85;46,7;749,7
204;1;42,16;31,54;0,28;1090;97,65;56,6;1982,7
205;1;42,47;31,66;0,33;1095;97,26;66,5;1975,8
206;1;42,82;31,75;0,36;1100;96,68;72,3;1158,8
207;1;43,21;31,84;0,40;1105;95,41;80,0;1554,5
208;1;43,59;31,88;0,38;1110;93,84;76,4;-726,0
209;1;43,98;31,92;0,39;1115;91,40;78,4;397,9
210;1;44,35;31,93;0,37;1120;88,07;74,0;-876,4
211;1;44,74;31,97;0,39;1125;82,89;78,4;876,4
212;1;45,06;31,97;0,32;1130;72,43;64,0;-2881,8
213;1;45,40;31,89;0,35;1135;47,80;69,9;1171,4
214;1;45,77;31,90;0,37;1140;22,09;74,0;834,0
215;;46,09;31,87;0,32;1150;0,00;74,0;834,0
216;;46,45;31,87;0,36;1155;0,00;72,0;-405,4
217;;46,74;31,91;0,29;1160;0,00;58,5;-2690,2
218;;47,00;31,86;0,26;1165;0,00;53,0;-1119,3
219;;47,26;31,78;0,27;1170;0,00;54,4;290,6
220;;47,51;31,67;0,27;1175;0,00;54,6;44,0
221;;47,76;31,56;0,27;1180;0,00;54,6;0,0
222;;47,99;31,45;0,25;1185;0,00;51,0;-727,2
223;;48,21;31,30;0,27;1190;0,00;53,3;452,8
224;;48,43;31,17;0,26;1195;0,00;51,1;-429,3
225;;48,67;31,03;0,28;1200;0,00;55,6;892,4
226;;48,93;30,91;0,29;1205;0,00;57,3;340,3
227;;49,18;30,81;0,27;1210;0,00;53,9;-683,9
228;;49,45;30,70;0,29;1215;0,00;58,3;891,6
229;;49,74;30,60;0,31;1220;0,00;61,4;608,4
230;;50,05;30,50;0,33;1225;0,00;65,1;758,9
231;;50,40;30,42;0,36;1230;0,00;71,8;1331,9
232;;50,74;30,34;0,35;1235;0,00;69,9;-389,7
233;;51,10;30,29;0,36;1240;0,00;72,7;566,8
234;;51,44;30,25;0,34;1245;0,00;68,5;-844,4
235;;51,77;30,23;0,33;1250;0,00;66,1;-469,6
236;;52,08;30,24;0,31;1255;0,00;62,0;-817,8
237;;52,37;30,26;0,29;1260;0,00;58,1;-778,9
238;;52,63;30,27;0,26;1265;0,00;52,0;-1219,9
239;;52,85;30,32;0,23;1270;0,00;45,1;-1383,3
240;;53,06;30,36;0,21;1275;0,00;42,8;-473,4
241;;53,21;30,40;0,16;1280;0,00;31,0;-2341,4
242;;53,32;30,44;0,12;1285;0,00;23,4;-1527,8
243;;53,33;30,44;0,01;1310;0,00;0,4;-920,4
244;;53,20;30,47;0,13;1315;0,00;26,7;5256,7
245;;53,00;30,47;0,20;1325;0,00;20,0;-668,3
246;;52,84;30,47;0,16;1330;0,00;32,0;2400,0
247;;52,69;30,51;0,16;1335;0,00;31,0;-190,3
248;;52,56;30,56;0,14;1340;0,00;27,9;-638,3
249;;52,43;30,60;0,14;1345;0,00;27,2;-130,8
250;;52,32;30,65;0,12;1350;0,00;24,2;-607,4
251;;52,13;30,66;0,19;1355;0,00;38,1;2777,3
252;;51,94;30,62;0,19;1365;0,00;19,4;-1863,6
253;;51,80;30,59;0,14;1370;0,00;28,6;1843,8
254;2;51,83;30,72;0,13;1410;64,32;28,6;1843,8
255;2;51,98;30,86;0,21;1415;69,01;41,0;2480,2
256;2;52,15;30,94;0,19;1420;72,43;37,6;-692,0
257;2;52,35;31,03;0,22;1425;75,37;43,9;1257,4
258;2;52,56;31,06;0,21;1430;77,81;42,4;-287,4
259;2;52,80;31,04;0,24;1435;79,47;48,2;1148,0
260;2;53,08;30,98;0,29;1440;81,04;57,3;1821,0
261;2;53,40;30,84;0,35;1445;82,40;69,9;2517,1
262;2;53,75;30,62;0,41;1450;82,99;82,7;2564,6
263;2;54,13;30,33;0,48;1455;83,87;95,6;2584,6
264;2;54,52;29,95;0,54;1460;84,07;108,9;2660,1
265;2;54,91;29,52;0,58;1465;84,16;116,1;1440,0
266;2;55,25;29,04;0,59;1470;84,36;117,6;308,0
267;2;55,55;28,54;0,58;1475;84,56;116,6;-204,9
268;2;55,78;28,04;0,55;1480;84,95;110,1;-1309,3
269;2;55,94;27,54;0,52;1485;85,04;105,0;-1015,5
270;2;56,04;27,07;0,48;1490;85,53;96,1;-1778,2
271;2;56,08;26,62;0,45;1495;85,92;90,4;-1149,9
272;2;56,04;26,18;0,44;1500;85,83;88,4;-398,4
273;2;55,94;25,78;0,41;1505;86,02;82,5;-1180,2
274;2;55,76;25,39;0,43;1510;85,83;85,9;689,0
275;2;55,51;25,05;0,42;1515;85,43;84,4;-300,6
276;2;55,20;24,78;0,41;1520;85,04;82,2;-436,9
277;2;54,81;24,58;0,44;1525;84,65;87,7;1087,8
278;2;54,38;24,48;0,44;1530;84,26;88,3;127,3
279;2;53,91;24,46;0,47;1535;84,07;94,1;1158,0
280;2;53,43;24,56;0,49;1540;84,07;98,1;795,2
281;2;52,98;24,79;0,51;1545;84,36;101,1;602,6
282;2;52,55;25,15;0,56;1550;85,04;112,2;2217,3
283;2;52,15;25,65;0,64;1555;86,02;128,1;3180,4
284;2;51,79;26,28;0,73;1560;87,39;145,1;3411,6
285;2;51,52;27,02;0,79;1565;88,47;157,5;2484,6
286;2;51,35;27,83;0,83;1570;89,44;165,5;1597,2
287;2;51,33;28,67;0,84;1575;90,13;168,0;503,6
288;2;51,43;29,53;0,87;1580;90,81;173,2;1022,3
289;2;51,63;30,37;0,86;1585;91,10;172,7;-92,5
290;2;51,90;31,15;0,83;1590;91,40;165,1;-1522,9
291;2;52,22;31,86;0,78;1595;91,98;155,8;-1865,1
292;2;52,58;32,45;0,69;1600;92,18;138,2;-3504,9
293;2;52,96;32,90;0,59;1605;92,67;117,8;-4087,1
294;2;53,36;33,20;0,50;1610;93,16;100,0;-3559,3
295;2;53,77;33,34;0,43;1615;93,65;86,6;-2670,3
296;2;54,21;33,31;0,44;1620;94,13;88,2;311,1
297;2;54,65;33,15;0,47;1625;94,72;93,6;1086,7
298;2;55,08;32,85;0,52;1630;94,82;104,9;2244,8
299;2;55,50;32,43;0,59;1635;95,01;118,8;2786,4
300;2;55,88;31,92;0,64;1640;95,21;127,2;1681,3
301;2;56,22;31,36;0,66;1645;95,11;131,0;765,2
302;2;56,53;30,77;0,67;1650;95,50;133,3;454,0
303;2;56,79;30,16;0,66;1655;95,80;132,6;-135,4
304;2;57,00;29,55;0,65;1660;95,99;129,0;-718,5
305;2;57,16;28,90;0,67;1665;96,09;133,9;970,7
306;2;57,25;28,27;0,64;1670;95,89;127,3;-1320,3
307;2;57,27;27,65;0,62;1675;95,50;124,1;-642,9
308;2;57,22;27,05;0,60;1680;95,01;120,4;-729,7
309;2;57,11;26,49;0,57;1685;94,72;114,1;-1255,1
310;2;56,95;25,98;0,53;1690;94,33;106,9;-1447,7
311;2;56,74;25,55;0,48;1695;93,84;95,7;-2238,8
312;2;56,50;25,24;0,39;1700;93,35;78,4;-3459,7
313;2;56,27;25,08;0,28;1705;93,06;56,0;-4474,7
314;2;56,05;25,11;0,22;1710;92,86;44,4;-2325,7
315;2;55,86;25,33;0,29;1715;93,26;58,1;2746,1
316;2;55,70;25,73;0,43;1720;93,55;86,2;5605,0
317;2;55,56;26,29;0,58;1725;93,94;115,4;5856,9
318;2;55,45;26,99;0,71;1730;94,43;141,7;5254,2
319;2;55,38;27,78;0,79;1735;94,72;158,6;3380,2
320;2;55,34;28,63;0,85;1740;95,11;170,2;2313,8
321;2;55,32;29,52;0,89;1745;95,41;178,0;1571,4
322;2;55,34;30,44;0,92;1750;95,60;184,0;1199,7
323;2;55,38;31,40;0,96;1755;96,19;192,2;1624,6
324;2;55,46;32,39;0,99;1760;96,29;198,6;1295,8
325;2;55,57;33,37;0,99;1765;96,29;197,2;-282,9
326;2;55,69;34,22;0,86;1770;96,48;171,7;-5109,0
327;2;55,83;34,95;0,74;1775;96,38;148,7;-4605,0
328;2;55,98;35,49;0,56;1780;96,87;112,1;-7314,3
329;2;56,11;35,86;0,39;1785;97,26;78,4;-6730,9
330;2;56,23;36,07;0,24;1790;97,26;48,4;-6012,2
331;2;56,34;36,11;0,12;1795;97,46;23,4;-4992,8
332;2;56,44;36,01;0,14;1800;97,46;28,3;975,0
333;2;56,55;35,80;0,24;1805;97,26;47,4;3825,8
334;2;56,66;35,50;0,32;1810;97,07;63,9;3298,6
335;2;56,76;35,15;0,36;1815;97,07;72,8;1779,0
336;2;56,87;34,78;0,39;1820;97,17;77,2;880,0
337;2;56,98;34,39;0,41;1825;96,97;81,0;768,4
338;2;57,09;34,01;0,40;1830;96,77;79,1;-384,6
339;2;57,22;33,64;0,39;1835;96,48;78,4;-137,1
340;2;57,34;33,30;0,36;1840;95,89;72,1;-1264,7
341;2;57,44;33,01;0,31;1845;95,89;61,4;-2151,9
342;2;57,54;32,76;0,27;1850;95,80;53,9;-1500,0
343;2;57,63;32,59;0,19;1855;95,50;38,5;-3076,2
344;2;57,73;32,45;0,17;1860;95,41;34,4;-812,3
345;2;57,82;32,35;0,13;1865;95,21;26,9;-1500,4
346;2;57,91;32,28;0,11;1870;95,21;22,8;-820,7
347;2;58,04;32,21;0,15;1880;95,41;14,8;-803,9
348;2;58,16;32,17;0,13;1885;95,60;25,3;2106,7
349;2;58,28;32,11;0,13;1890;95,60;26,8;306,9
350;2;58,39;32,02;0,14;1895;95,31;28,4;318,5
351;2;58,50;31,91;0,16;1900;95,41;31,1;537,5
352;2;58,60;31,80;0,15;1905;95,31;29,7;-276,1
353;2;58,69;31,71;0,13;1910;95,41;25,5;-855,3
354;2;58,76;31,60;0,13;1915;95,41;26,1;124,2
355;2;58,82;31,50;0,12;1920;95,50;23,3;-550,6
356;2;58,86;31,39;0,12;1925;95,70;23,4;17,1
357;2;58,85;31,38;0,01;1950;94,72;0,6;-913,7
358;2;58,84;31,38;0,01;1955;94,62;2,0;286,9
359;2;58,83;31,37;0,01;1960;94,72;2,8;165,7
360;2;58,82;31,38;0,01;1965;94,82;2,8;0,0
361;2;58,73;31,53;0,17;1970;94,82;35,0;6431,5
362;2;58,68;31,74;0,22;1975;94,92;43,2;1637,7
363;2;58,66;32,01;0,27;1980;95,01;54,1;2194,8
364;2;58,67;32,32;0,31;1985;95,11;62,0;1576,9
365;2;58,71;32,62;0,30;1990;95,31;60,5;-300,3
366;2;58,79;32,89;0,28;1995;95,41;56,3;-842,1
367;2;58,89;33,10;0,23;2000;95,80;46,5;-1960,3
368;2;59,02;33,25;0,20;2005;96,19;39,7;-1364,0
369;2;59,13;33,34;0,14;2010;96,38;28,4;-2254,7
370;2;59,27;33,36;0,14;2015;96,58;28,3;-28,2
371;2;59,44;33,31;0,18;2020;96,58;35,4;1431,2
372;2;59,63;33,21;0,21;2025;96,58;42,9;1500,3
373;2;59,85;33,02;0,29;2030;96,68;58,1;3039,2
374;2;60,07;32,77;0,33;2035;96,87;66,6;1693,1
375;2;60,28;32,46;0,37;2040;97,26;74,9;1656,7
376;2;60,48;32,09;0,42;2045;97,26;84,1;1846,5
377;2;60,66;31,70;0,43;2050;97,36;85,9;357,6
378;2;60,82;31,27;0,46;2055;97,46;91,8;1170,7
379;2;60,96;30,83;0,46;2060;97,56;92,3;117,3
380;2;61,09;30,39;0,46;2065;97,75;91,8;-117,3
381;2;61,20;29,92;0,48;2070;97,75;96,5;955,9
382;2;61,29;29,43;0,50;2075;97,95;99,6;619,8
383;2;61,36;28,90;0,53;2080;98,14;106,9;1456,2
384;2;61,40;28,35;0,55;2085;97,95;110,3;674,0
385;2;61,40;27,81;0,54;2090;97,95;108,0;-458,1
386;2;61,37;27,29;0,52;2095;97,85;104,2;-765,4
387;2;61,31;26,80;0,49;2100;97,75;98,7;-1088,2
388;2;61,20;26,37;0,44;2105;97,85;88,8;-1992,5
389;2;61,08;26,02;0,37;2110;97,65;74,0;-2953,9
390;2;60,97;25,78;0,26;2115;97,26;52,8;-4239,7
391;2;60,90;25,66;0,14;2120;96,68;27,8;-5003,3
392;2;60,86;25,80;0,15;2130;96,48;14,6;-1322,5
393;2;60,85;26,06;0,26;2135;96,68;52,0;7495,6
394;2;60,85;26,44;0,38;2140;96,77;76,0;4792,3
395;2;60,88;26,93;0,49;2145;96,97;98,2;4436,7
396;2;60,94;27,48;0,55;2150;97,26;110,7;2493,8
397;2;61,03;28,08;0,61;2155;97,56;121,3;2138,0
398;2;61,14;28,73;0,66;2160;97,95;131,8;2101,2
399;2;61,25;29,41;0,69;2165;98,14;137,8;1183,9
400;2;61,37;30,13;0,73;2170;98,14;146,0;1643,7
401;2;61,51;30,80;0,68;2175;98,04;136,9;-1818,4
402;2;61,65;31,41;0,63;2180;97,95;125,2;-2344,4
403;2;61,80;31,93;0,54;2185;98,24;108,2;-3386,3
404;2;61,96;32,33;0,43;2190;98,34;86,2;-4415,6
405;2;62,11;32,66;0,36;2195;98,53;72,5;-2732,9
406;2;62,25;32,88;0,26;2200;98,53;52,2;-4068,9
407;2;62,36;33,01;0,17;2205;98,73;34,1;-3619,0
408;2;62,46;33,07;0,12;2210;99,22;23,3;-2147,0
409;2;62,61;32,96;0,19;2220;99,71;18,6;-472,3
410;2;62,74;32,82;0,19;2225;100,00;38,2;3921,8
411;2;62,86;32,63;0,22;2230;99,80;44,9;1346,9
412;2;62,95;32,43;0,22;2235;99,61;43,9;-216,2
413;2;63,04;32,25;0,20;2240;99,41;40,2;-722,8
414;2;63,10;32,09;0,17;2245;98,83;34,2;-1214,6
415;2;63,15;31,97;0,13;2250;98,73;26,0;-1635,2
416;2;63,21;31,87;0,12;2265;98,14;7,8;-1215,0
417;2;63,34;31,94;0,15;2290;96,68;5,9;-74,7
418;2;63,44;32,06;0,16;2295;96,58;31,2;5067,0
419;2;63,54;32,20;0,17;2300;96,68;34,4;633,7
420;2;63,64;32,32;0,16;2305;96,68;31,2;-633,7
421;2;63,75;32,40;0,14;2310;96,77;27,2;-807,6
422;2;63,87;32,45;0,13;2315;97,07;26,0;-240,6
423;2;63,99;32,48;0,12;2320;97,07;24,7;-252,3
424;2;64,12;32,49;0,13;2325;97,07;26,1;267,6
425;2;64,26;32,46;0,14;2330;96,87;28,6;511,8
426;2;64,43;32,40;0,18;2335;96,87;36,1;1484,0
427;2;64,59;32,31;0,18;2340;97,07;36,7;131,9
428;2;64,74;32,18;0,20;2345;97,26;39,7;596,7
429;2;64,88;32,03;0,21;2350;97,56;41,0;267,5
430;2;64,99;31,86;0,20;2355;97,56;40,5;-107,9
431;2;65,08;31,68;0,20;2360;97,56;40,2;-49,5
432;2;65,14;31,51;0,18;2365;97,56;36,1;-838,7
433;2;65,16;31,37;0,14;2370;97,26;28,3;-1554,2
434;2;65,12;31,21;0,16;2380;97,07;16,5;-1179,2
435;2;65,06;31,10;0,13;2385;96,77;25,1;1713,5
436;2;64,98;31,03;0,11;2390;96,68;21,3;-759,9
437;2;64,88;30,95;0,13;2395;96,29;25,6;870,4
438;2;64,76;30,91;0,13;2400;95,89;25,3;-62,9
