N. ORD.;TRATTO;X (mm);Y (mm);DISTANZA (mm);TEMPO (msec);PRESSIONE (%);VELOCITA (mm/sec);ACCELERAZIONE (mm/sec^2)
1;1;19,07;27,37;0,00;0;51,12;0,0;0,0
2;1;18,91;27,28;0,18;5;53,67;36,7;7343,0
3;1;18,73;27,19;0,20;10;55,72;40,2;706,8
4;1;18,56;27,13;0,18;15;58,26;36,1;-838,7
5;1;18,42;27,15;0,14;20;61,49;28,3;-1554,2
6;1;18,31;27,24;0,14;25;65,00;28,4;28,2
7;1;18,26;27,43;0,20;30;68,43;39,3;2173,7
8;1;18,23;27,68;0,25;35;71,26;50,4;2213,0
9;1;18,26;28,00;0,32;40;73,51;64,3;2784,4
10;1;18,34;28,36;0,37;45;75,17;73,8;1895,1
11;1;18,49;28,78;0,45;50;76,15;89,2;3088,0
12;1;18,80;29,34;0,64;55;76,83;128,0;7763,8
13;1;19,27;29,93;0,75;60;77,22;150,9;4569,7
14;1;19,88;30,45;0,80;65;77,61;160,3;1889,6
15;1;20,63;30,80;0,83;70;77,71;165,5;1043,5
16;1;21,35;30,91;0,73;75;78,10;145,7;-3971,7
17;1;22,06;30,82;0,72;80;78,49;143,1;-506,9
18;1;22,75;30,56;0,74;85;78,89;147,5;867,1
19;1;23,39;30,19;0,74;90;79,47;147,9;75,8
20;1;23,95;29,73;0,72;95;79,67;144,9;-582,0
21;1;24,41;29,20;0,70;100;79,67;140,4;-916,9
22;1;24,76;28,65;0,65;105;79,96;130,4;-1994,5
23;1;25,02;28,08;0,63;110;79,96;125,3;-1016,9
24;1;25,18;27,53;0,57;115;80,16;114,6;-2147,9
25;1;25,25;26,99;0,54;120;80,35;108,9;-1131,3
26;1;25,23;26,47;0,52;125;80,25;104,1;-965,3
27;1;25,11;25,97;0,51;130;80,45;102,8;-247,4
28;1;24,90;25,50;0,51;135;80,25;103,0;23,3
29;1;24,60;25,09;0,51;140;80,25;101,6;-269,8
30;1;24,20;24,73;0,54;145;80,16;107,6;1204,4
31;1;23,71;24,42;0,58;150;80,06;116,0;1667,3
32;1;23,17;24,17;0,60;155;79,96;119,0;609,4
33;1;22,60;23,97;0,60;160;79,57;120,8;360,3
34;1;22,01;23,81;0,61;165;79,96;122,3;289,6
35;1;21,43;23,70;0,59;170;80,45;118,1;-838,8
36;1;20,99;23,70;0,44;175;81,13;88,0;-6013,6
37;1;20,62;23,79;0,38;180;82,01;76,2;-2368,5
38;1;20,31;23,93;0,34;185;82,31;68,0;-1625,7
39;1;20,06;24,09;0,30;190;82,99;59,4;-1733,2
40;1;19,73;24,34;0,41;195;83,77;82,8;4687,5
41;1;19,40;24,68;0,47;200;84,56;94,8;2392,4
42;1;19,12;25,12;0,52;205;86,02;104,3;1908,9
43;1;18,93;25,67;0,58;210;87,10;116,4;2414,3
44;1;18,85;26,31;0,64;215;87,98;129,0;2523,5
45;1;18,96;27,20;0,90;220;88,66;179,4;10071,7
46;1;19,30;28,23;1,08;225;89,05;216,9;7515,8
47;1;19,86;29,31;1,22;230;88,95;243,3;5275,5
48;1;20,65;30,31;1,27;235;89,25;254,9;2314,0
49;1;21,48;30,98;1,07;240;89,44;213,3;-8309,0
50;1;22,37;31,35;0,96;245;89,54;192,8;-4113,2
51;1;23,31;31,47;0,95;250;89,93;189,5;-648,7
52;1;24,25;31,36;0,95;255;89,93;189,3;-48,6
53;1;25,15;31,09;0,94;260;89,93;187,9;-271,5
54;1;25,98;30,69;0,92;265;89,54;184,3;-730,8
55;1;26,72;30,21;0,88;270;89,74;176,4;-1572,6
56;1;27,38;29,64;0,87;275;89,64;174,4;-399,1
57;1;27,95;29,02;0,84;280;89,64;168,4;-1194,7
58;1;28,42;28,38;0,79;285;89,93;158,8;-1926,4
59;1;28,80;27,72;0,76;290;89,93;152,3;-1298,5
60;1;29,06;27,11;0,66;295;89,83;132,6;-3939,1
61;1;29,22;26,55;0,58;300;89,93;116,5;-3227,6
62;1;29,27;26,06;0,49;305;89,83;98,5;-3594,6
63;1;29,22;25,63;0,43;310;89,83;86,6;-2385,9
64;1;29,08;25,26;0,40;315;89,54;79,1;-1491,9
65;1;28,84;24,94;0,40;320;89,05;80,0;176,0
66;1;28,51;24,67;0,43;325;88,86;85,3;1055,2
67;1;28,11;24,45;0,46;330;88,47;91,3;1205,1
68;1;27,68;24,31;0,45;335;88,37;90,4;-171,7
69;1;27,23;24,23;0,46;340;88,47;91,4;193,6
70;1;26,80;24,25;0,43;345;88,27;86,1;-1063,6
71;1;26,40;24,36;0,41;350;88,47;83,0;-624,6
72;1;26,04;24,56;0,41;355;88,95;82,4;-121,0
73;1;25,72;24,88;0,45;360;89,44;90,5;1628,9
74;1;25,47;25,28;0,47;365;90,62;94,3;766,0
75;1;25,30;25,75;0,50;370;91,40;100,0;1124,0
76;1;25,23;26,25;0,50;375;92,18;101,0;203,1
