N. ORD.;TRATTO;X (mm);Y (mm);DISTANZA (mm);TEMPO (msec);PRESSIONE (%);VELOCITA (mm/sec);ACCELERAZIONE (mm/sec^2)
516;2;73,11;31,52;0,17;2795;97,75;34,2;2815,3
517;2;73,25;31,62;0,17;2800;97,46;34,4;46,7
518;2;73,39;31,74;0,18;2805;97,46;36,9;493,8
519;2;73,54;31,88;0,21;2810;97,56;41,0;831,7
520;2;73,71;32,06;0,25;2815;97,85;49,5;1696,2
521;2;73,89;32,22;0,24;2820;98,24;48,2;-270,3
522;2;74,10;32,38;0,26;2825;98,53;52,8;927,0
523;2;74,33;32,50;0,26;2830;98,63;51,9;-183,4
524;2;74,57;32,57;0,25;2835;98,53;50,0;-376,9
525;2;74,83;32,60;0,26;2840;98,44;52,3;469,0
526;2;75,11;32,61;0,28;2845;98,53;56,0;738,1
527;2;75,39;32,60;0,28;2850;98,34;56,0;0,0
528;2;75,66;32,58;0,27;2855;98,24;54,1;-377,6
529;2;75,92;32,53;0,26;2860;98,44;53,0;-239,0
530;2;76,15;32,45;0,24;2865;98,44;48,7;-849,9
531;2;76,37;32,30;0,27;2870;98,53;53,3;910,2
532;2;76,56;32,09;0,28;2875;98,63;56,6;677,0
533;2;76,73;31,88;0,27;2880;98,73;54,0;-520,4
534;2;76,84;31,67;0,24;2885;98,73;47,4;-1324,8
535;2;76,90;31,49;0,19;2890;98,73;37,9;-1893,1
536;2;76,91;31,31;0,18;2895;98,83;36,1;-378,4
537;2;76,87;31,15;0,16;2900;98,92;33,0;-614,1
538;2;76,79;31,01;0,16;2905;99,22;32,2;-147,2
539;2;76,64;30,88;0,20;2910;99,22;39,7;1490,0
540;2;76,44;30,79;0,22;2915;99,22;43,9;832,9
541;2;76,19;30,72;0,26;2920;99,22;51,9;1611,9
542;2;75,89;30,71;0,30;2925;99,02;60,0;1622,1
543;2;75,56;30,77;0,34;2930;98,73;67,1;1409,7
544;2;75,21;30,89;0,37;2935;98,73;74,0;1383,6
545;2;74,84;31,09;0,42;2940;98,44;84,1;2023,8
546;2;74,46;31,35;0,46;2945;97,75;92,1;1593,6
547;2;74,06;31,67;0,51;2950;96,97;102,4;2072,6
548;2;73,63;32,07;0,59;2955;95,31;117,5;3001,3
549;2;73,15;32,50;0,64;2960;92,96;128,9;2286,2
550;2;72,65;33,01;0,71;2965;89,44;142,8;2791,0
551;2;72,06;33,51;0,77;2970;83,28;154,7;2366,3
552;2;71,49;34,08;0,81;2975;66,57;161,2;1309,3
553;2;70,96;34,67;0,79;2980;39,78;158,6;-520,3
554;2;70,30;35,24;0,87;2985;13,78;174,4;3158,9
