N. ORD.;TRATTO;X (mm);Y (mm);DISTANZA (mm);TEMPO (msec);PRESSIONE (%);VELOCITA (mm/sec);ACCELERAZIONE (mm/sec^2)
1;1;27,82;25,17;0;0;20,23;0;0
2;1;27,88;25,07;0,12;5;24,44;23,3;4664,8
3;1;27,98;24,97;0,14;15;31,28;14,1;-918,2
4;1;28,09;24,89;0,14;20;34,21;27,2;2612,2
5;1;28,2;24,83;0,13;25;37,44;25,1;-428,6
6;1;28,33;24,79;0,14;30;40,86;27,2;428,6
7;1;28,45;24,75;0,13;35;44,09;25,3;-380,9
8;1;28,58;24,73;0,13;40;47,12;26,3;201,5
9;1;28,59;24,72;0,01;65;60,12;0,6;-1029,6
10;1;28,43;24,8;0,18;70;61,88;35,8;7042,3
11;1;28,15;24,9;0,3;75;63,54;59,5;4737,4
12;1;27,78;25,04;0,4;80;65,4;79,1;3931,2
13;1;27,32;25,18;0,48;85;67,74;96,2;3409,3
14;1;26,81;25,37;0,54;90;69,99;108,8;2536,4
15;1;26,24;25,56;0,6;95;72,53;120,2;2263,6
16;1;25,67;25,78;0,61;100;74,49;122,2;406
17;1;25,1;26;0,61;105;76,05;122,2;0
18;1;24,59;26,22;0,56;110;76,74;111,1;-2222,2
19;1;24,17;26,39;0,45;115;77,13;90,6;-4093,1
20;1;23,85;26,56;0,36;120;77,13;72,5;-3629,9
21;1;23,65;26,73;0,26;125;77,22;52,5;-3994,6
22;1;23,56;26,88;0,17;130;77,22;35;-3502,4
23;1;23,58;27,05;0,17;135;77,13;34,2;-150,2
24;1;23,7;27,21;0,2;140;77,22;40;1153,1
25;1;23,92;27,37;0,27;145;77,22;54,4;2881,2
26;1;24,23;27,55;0,36;150;77,22;71,7;3457,6
27;1;24,63;27,75;0,45;155;76,44;89,4;3549,8
28;1;25,09;27,98;0,51;160;75,56;102,9;2683,3
29;1;25,6;28,25;0,58;165;74,49;115,4;2510,6
30;1;26,14;28,54;0,61;170;73,61;122,6;1435,3
31;1;26,65;28,85;0,6;175;73,12;119,4;-644,8
32;1;27,09;29,16;0,54;180;73,02;107,6;-2343,5
33;1;27,43;29,48;0,47;185;73,12;93,4;-2853,3
34;1;27,66;29,81;0,4;190;73,22;80,4;-2586,4
35;1;27,74;30,11;0,31;195;73,9;62,1;-3670,4
36;1;27,69;30,42;0,31;200;74,49;62,8;140,9
37;1;27,49;30,7;0,34;205;75,66;68,8;1203,5
38;1;27,17;30,95;0,41;210;77,13;81,2;2479,4
39;1;26,72;31,18;0,51;215;78,98;101,1;3971,7
40;1;26,18;31,39;0,58;220;80,94;115,9;2961
41;1;25,53;31,57;0,67;225;82,6;134,9;3802,7
42;1;24,8;31,72;0,75;230;84,16;149,1;2831,6
43;1;24,01;31,84;0,8;235;84,95;159,8;2152,4
44;1;23,2;31,93;0,81;240;85,04;163;636,9
45;1;22,42;31,98;0,78;245;85,83;156,3;-1335,3
46;1;21,72;31,99;0,7;250;86,02;140;-3261,2
47;1;21,29;31,99;0,43;255;86,12;86;-10802,9
48;1;21;31,97;0,29;260;86,02;58,1;-5572,4
49;1;20,79;31,96;0,21;265;84,56;42;-3218
50;1;20,6;31,94;0,19;270;82,11;38,2;-767,5
