N. ORD.;TRATTO;X (mm);Y (mm);DISTANZA (mm);TEMPO (msec);PRESSIONE (%);VELOCITA (mm/sec);ACCELERAZIONE (mm/sec^2)
51;1;20,34;31,9;0,26;275;77,03;52,6;2880,4
52;1;20,16;31,84;0,19;280;67,16;37,9;-2932,9
53;1;20,04;31,74;0,16;285;45,65;31,2;-1341,3
54;;20,2;31,55;0,25;295;0;24,8;-640,2
55;;20,57;31,42;0,39;300;0;78,4;10719
56;;21;31,33;0,44;305;0;87,9;1885,8
57;;21,51;31,22;0,52;310;0;104,3;3296,4
58;;22,12;31,11;0,62;315;0;124;3924,4
59;;22,82;30,97;0,71;320;0;142,8;3761
60;;23,6;30,83;0,79;325;0;158,5;3144,1
61;;24,44;30,69;0,85;330;0;170,3;2364,9
62;;25,34;30,55;0,91;335;0;182,2;2369,5
63;;26,29;30,4;0,96;340;0;192,4;2037,8
64;;27,26;30,22;0,99;345;0;197,3;991,6
65;;28,21;30,04;0,97;350;0;193,4;-786,3
66;;29,11;29,84;0,92;355;0;184,4;-1797,9
67;;29,93;29,64;0,84;360;0;168,8;-3116,7
68;;30,67;29,44;0,77;365;0;153,3;-3099,5
69;;31,33;29,22;0,7;370;0;139,1;-2834
70;;31,91;28,99;0,62;375;0;124,8;-2870,5
71;;32,42;28,77;0,56;380;0;111,1;-2740,5
72;;32,85;28,54;0,49;385;0;97,5;-2711,2
73;;33,23;28,35;0,42;390;0;85;-2511,8
74;;33,55;28,17;0,37;395;0;73,4;-2308,1
75;;33,84;27,98;0,35;400;0;69,3;-818,1
76;;34,09;27,82;0,3;405;0;59,4;-1995,3
77;;34,3;27,62;0,29;410;0;58;-272,7
78;;34,48;27,45;0,25;415;0;49,5;-1696,5
79;;34,63;27,29;0,22;420;0;43,9;-1130,8
80;;34,75;27,13;0,2;425;0;40;-772,7
81;;34,85;26,98;0,18;430;0;36,1;-788,9
82;;34,96;26,83;0,19;435;0;37,2;229,3
83;;35,07;26,67;0,19;440;0;38,8;326,2
84;;35,17;26,5;0,2;445;0;39,4;122,6
85;;35,27;26,29;0,23;450;0;46,5;1414,5
86;;35,39;26,12;0,21;455;0;41,6;-980,3
87;;35,45;25,92;0,21;460;0;41,8;28,8
88;;35,53;25,77;0,17;465;0;34;-1552,2
89;;35,57;25,63;0,15;470;0;29,1;-975,9
90;;35,6;25,51;0,12;475;0;24,7;-876,4
91;;35,63;25,37;0,14;485;0;14,3;-1042,1
92;2;35,64;25,36;0,01;510;46,92;0,6;-550,1
93;2;35,63;25,36;0,01;515;49,36;2;286,9
94;2;35,48;25,43;0,17;520;52,59;33,1;6221,2
95;2;35,29;25,57;0,24;525;56,6;47,2;2819,2
96;2;35,07;25,8;0,32;530;60,61;63,7;3290,7
97;2;34,76;26,09;0,42;535;64,61;84,9;4248,9
98;2;34,41;26,48;0,52;540;68,13;104,8;3980,9
99;2;33,95;26,92;0,64;545;71,07;127,3;4501,2
100;2;33,43;27,43;0,73;550;73,8;145,7;3672
101;2;32,82;27,96;0,81;555;75,95;161,6;3189,2
102;2;32,17;28,49;0,84;560;77,71;167,7;1224,2
103;2;31,53;28,98;0,81;565;78,69;161,2;-1306
104;2;30,94;29,43;0,74;570;79,18;148,4;-2560,6
105;2;30,46;29,83;0,62;575;79,77;125;-4688,2
106;2;30,11;30,2;0,51;580;79,96;101,9;-4620,3
107;2;29,9;30,52;0,38;585;80,25;76,6;-5062,4
108;2;29,8;30,78;0,28;590;80,55;55,7;-4167,4
109;2;29,81;30,99;0,21;595;80,55;42;-2733,2
110;2;29,91;31,15;0,19;600;80,45;37,7;-862,3
111;2;30,1;31,29;0,24;605;80,25;47,2;1893,2
112;2;30,38;31,39;0,3;610;79,86;59,5;2452,5
113;2;30,75;31,45;0,37;615;78,89;75;3100,5
114;2;31,17;31,47;0,42;620;77,42;84,1;1825,7
115;2;31,65;31,46;0,48;625;74,58;96;2385,1
116;2;32,09;31,39;0,45;630;69,79;89,1;-1382,8
117;2;32,53;31,34;0,44;635;62,27;88,6;-108,1
118;2;32,85;31,23;0,34;640;50,44;67,7;-4178,1
119;2;33,06;31,07;0,26;645;30,89;52,8;-2974,8
120;2;33,24;30,92;0,23;650;10,65;46,9;-1188
121;;33,27;30,69;0,23;655;0;46,4;-94,4
122;;33,27;30,49;0,2;660;0;40;-1277,9
123;;33,19;30,29;0,22;665;0;43,1;616,3
124;;32,93;30,02;0,37;670;0;75;6377,1
125;3;32,65;29,8;0,36;675;8,8;71,2;-749,7
126;3;32,27;29,56;0,45;680;26,39;89,9;3734,2
127;3;31,86;29,35;0,46;685;41,54;92,1;448,3
128;3;31,5;29,19;0,39;690;52,2;78,8;-2667,9
129;3;31,16;29,03;0,38;695;59,63;75,2;-727,5
130;3;30,92;28,91;0,27;700;65;53,7;-4297,5
131;3;30,74;28,8;0,21;705;68,04;42,2;-2295,1
132;3;30,66;28,71;0,12;710;69,7;24,1;-3621,4
133;3;30,8;28,62;0,17;720;70,58;16,6;-744
134;3;31,06;28,56;0,27;725;70,87;53,4;7344,7
135;3;31,44;28,53;0,38;730;71,16;76,2;4574
136;3;31,93;28,53;0,49;735;71,36;98;4352,7
137;3;32,48;28,53;0,55;740;70,97;110;2400
138;3;33,07;28,57;0,59;745;69,21;118,3;1654,2
139;3;33,64;28,6;0,57;750;64,81;114,2;-822,6
140;3;34,22;28,69;0,59;755;55,13;117,4;646,1
141;3;34,74;28,82;0,54;760;37,63;107,2;-2037,5
142;3;35,16;28,92;0,43;765;16,03;86,3;-4170,5
143;;35,6;29,1;0,48;770;0;95,1;1746,2
144;;35,95;29,23;0,37;775;0;74,7;-4081,3
145;;36,31;29,37;0,39;780;0;77,3;516
146;;36,61;29,5;0,33;785;0;65,4;-2372,3
147;;36,81;29,62;0,23;790;0;46,6;-3748,7
148;;36,89;29,72;0,13;795;0;25,6;-4207
149;;36,75;29,87;0,21;805;0;20,5;-509,4
150;;36,55;29,99;0,23;810;0;46,6;5225,9
151;;36,3;30,08;0,27;815;0;53,1;1298,7
152;;36;30,17;0,31;820;0;62,6;1900,1
153;;35,67;30,26;0,34;825;0;68,4;1153,7
154;;35,32;30,36;0,36;830;0;72,8;878,1
155;;34,95;30,47;0,39;835;0;77,2;880
156;;34,6;30,56;0,36;840;0;72,3;-984,8
157;;34,27;30,65;0,34;845;0;68,4;-773,3
158;;34;30,71;0,28;850;0;55,3;-2618,7
159;;33,83;30,79;0,19;855;0;37,6;-3548,1
160;;33,71;30,84;0,13;860;0;26;-2315,3
161;;33,75;30,95;0,12;870;0;11,7;-1429,5
162;;33,91;31,05;0,19;875;0;37,7;5206,2
163;;34,15;31,09;0,24;880;0;48,7;2185,2
164;;34,48;31,11;0,33;885;0;66,1;3491,8
165;4;34,89;31,12;0,41;890;41,84;82;3180,7
166;4;35,35;31,08;0,46;895;46,43;92,3;2064,6
167;4;35,86;31,04;0,51;900;50,44;102,3;1993,2
168;4;36,38;30,95;0,53;905;54,15;105,5;646,6
169;4;36,9;30,85;0,53;910;57,28;105,9;71,9
170;4;37,39;30,73;0,5;915;59,82;100,9;-1001,9
171;4;37,87;30,6;0,5;920;62,27;99,5;-287,5
172;4;38,28;30,45;0,44;925;64,03;87,3;-2428,6
173;4;38,65;30,29;0,4;930;66,18;80,6;-1338,6
174;4;38,94;30,1;0,35;935;67,94;69,3;-2256,6
175;4;39,17;29,9;0,3;940;69,4;61;-1676,1
176;4;39,33;29,7;0,26;945;70,87;51,2;-1946,8
177;4;39,43;29,51;0,21;950;71,85;42,9;-1656,6
178;4;39,48;29,33;0,19;955;72,83;37,4;-1115,7
179;4;39,48;29,17;0,16;960;73,8;32;-1072,6
180;4;39,43;29,03;0,15;965;74,29;29,7;-453,6
181;4;39,33;28,93;0,14;970;74,78;28,3;-289,6
182;4;39,15;28,87;0,19;975;75,07;37,9;1932,6
183;4;38,9;28,87;0,25;980;75,37;50;2410,5
184;4;38,57;28,93;0,34;985;75,76;67,1;3416,4
185;4;38,18;29,04;0,41;990;76,44;81;2792,2
186;4;37,75;29,2;0,46;995;77,03;91,8;2143,5
187;4;37,31;29,38;0,48;1000;77,52;95,1;663,7
188;4;36,89;29,56;0,46;1005;78,01;91,4;-737,9
189;4;36,5;29,74;0,43;1010;78,59;85,9;-1096,5
190;4;36,18;29,93;0,37;1015;78,79;74,4;-2295,2
191;4;35,93;30,12;0,31;1020;78,49;62,8;-2326
192;4;35,75;30,3;0,25;1025;78,59;50,9;-2377,9
193;4;35,64;30,48;0,21;1030;78,01;42,2;-1744,3
194;4;35,61;30,67;0,19;1035;77,71;38,5;-743,9
195;4;35,66;30,84;0,18;1040;77,03;35,4;-606,1
196;4;35,8;31,02;0,23;1045;75,76;45,6;2033,4
197;4;36;31,17;0,25;1050;73,22;50;878,6
198;4;36,32;31,34;0,36;1055;68,52;72,5;4494,1
199;4;36,68;31,48;0,39;1060;61,19;77,3;956,4
200;4;37,14;31,63;0,48;1065;44,67;96,8;3903
201;4;37,68;31,82;0,57;1070;22,48;114,5;3544,5
202;4;38,18;31,93;0,51;1075;1,96;102,4;-2419,8
203;;38,72;32,07;0,56;1080;0;111,6;1835,8
204;;39,17;32,16;0,46;1085;0;91,8;-3957,7
205;;39,56;32,2;0,39;1090;0;78,4;-2674,6
206;;39,89;32,24;0,33;1095;0;66,5;-2385,2
207;;40,2;32,23;0,31;1100;0;62;-890,2
208;;40,44;32,21;0,24;1105;0;48,2;-2773,2
209;;40,62;32,17;0,18;1110;0;36,9;-2257,6
210;;40,73;32,12;0,12;1115;0;24,2;-2542,4
211;;40,67;31,95;0,18;1130;0;12;-809,8
212;;40,62;31,82;0,14;1135;0;27,9;3167,7
213;;40,51;31,62;0,23;1140;0;45,7;3558,8
214;;40,45;31,46;0,17;1145;0;34,2;-2295
215;;40,37;31,32;0,16;1150;0;32,2;-385,4
216;;40,32;31,18;0,15;1155;0;29,7;-503,4
217;5;40,37;31;0,19;1165;56,21;18,7;-1105,1
218;5;40,51;30,86;0,2;1170;60,61;39,6;4183,3
219;5;40,7;30,73;0,23;1175;64,52;46;1289,1
220;5;40,99;30,61;0,31;1180;67,64;62,8;3345,2
221;5;41,35;30,49;0,38;1185;69,89;75,9;2625
222;5;41,81;30,37;0,48;1190;72,14;95,1;3836,9
223;5;42,33;30,22;0,54;1195;73,7;108,2;2632,3
224;5;42,91;30,07;0,6;1200;75,56;119,8;2315,2
225;5;43,53;29,9;0,64;1205;76,83;128,6;1752,1
226;5;44,2;29,72;0,69;1210;78,01;138,8;2034,9
227;5;44,85;29,54;0,67;1215;78,69;134,9;-771,8
228;5;45,48;29,34;0,66;1220;79,18;132,2;-539,1
229;5;46,05;29,11;0,61;1225;79,57;122,9;-1853,2
230;5;46,54;28,87;0,55;1230;79,57;109,1;-2761,4
231;5;46,97;28,57;0,52;1235;79,67;104,9;-852,4
232;5;47,33;28,25;0,48;1240;79,67;96,3;-1705,8
233;5;47,63;27,9;0,46;1245;79,67;92,2;-827,5
234;5;47,87;27,54;0,43;1250;79,67;86,5;-1132,4
235;5;48,05;27,24;0,35;1255;79,96;70;-3312,4
236;5;48,17;26,98;0,29;1260;79,77;57,3;-2540
237;5;48,22;26,78;0,21;1265;79,67;41,2;-3208
238;5;48,18;26,64;0,15;1270;79,57;29,1;-2422,1
239;5;48,06;26,55;0,15;1275;79,28;30;175,9
240;5;47,82;26,52;0,24;1280;78,98;48,4;3674,7
241;5;47,48;26,55;0,34;1285;78,98;68,3;3978,1
242;5;47,04;26,65;0,45;1290;78,98;90,2;4396
243;5;46,5;26,86;0,58;1295;78,98;115,9;5127
244;5;45,89;27,15;0,68;1300;79,28;135,1;3841,2
245;5;45,22;27,56;0,79;1305;79,18;157,1;4402,7
246;5;44,46;28,07;0,92;1310;79,57;183,1;5190,6
247;5;43,57;28,67;1,07;1315;79,77;214,7;6324
248;5;42,55;29,4;1,25;1320;79,67;250,9;7238,1
249;5;41,4;30,23;1,42;1325;79,96;283,6;6557
250;5;40,12;31,17;1,59;1330;80,16;317,6;6793,7
251;5;38,74;32,17;1,7;1335;80,25;340,8;4646
252;5;37,29;33,18;1,77;1340;80,55;353,4;2514,3
253;5;35,77;34,16;1,81;1345;80,45;361,7;1657,9
254;5;34,24;35,08;1,79;1350;80,25;357,1;-929,4
255;5;32,76;35,9;1,69;1355;80,55;338,4;-3732,8
256;5;31,35;36,64;1,59;1360;80,84;318,5;-3983,7
257;5;30,01;37,28;1,48;1365;81,13;297;-4295,9
258;5;28,76;37,83;1,37;1370;81,43;273,1;-4773,7
259;5;27,58;38,27;1,26;1375;81,72;251,9;-4251,4
260;5;26,47;38,58;1,15;1380;82,11;230,5;-4275,6
261;5;25,43;38,77;1,06;1385;82,5;211,4;-3810,5
262;5;24,49;38,85;0,94;1390;82,7;188,7;-4552,6
263;5;23,69;38,82;0,8;1395;82,6;160,1;-5713,4
264;5;23,07;38,71;0,63;1400;82,4;125,9;-6835,2
265;5;22,67;38,57;0,42;1405;82,31;84,8;-8235,6
266;5;22,49;38,39;0,25;1410;82,11;50,9;-6769,4
267;5;22,54;38,19;0,21;1415;82,11;41,2;-1936,1
268;5;22,79;37,99;0,32;1420;82,11;64;4560
269;5;23,23;37,77;0,49;1425;82,01;98,4;6871,2
270;5;23,83;37,52;0,65;1430;81,52;130;6322,6
271;5;24,59;37,24;0,81;1435;80,74;162;6397,5
272;5;25,52;36,92;0,98;1440;79,77;196,7;6943
273;5;26,62;36,58;1,15;1445;78,2;230,3;6713,3
274;5;27,87;36,22;1,3;1450;76,34;260,2;5978,4
275;5;29,29;35,86;1,46;1455;74,19;293;6564,6
276;5;30,79;35,47;1,55;1460;71,26;310;3397,9
277;5;32,42;35,11;1,67;1465;68,13;333,9;4776,4
278;5;34,11;34,75;1,73;1470;65,59;345,6;2345,5
279;5;35,82;34,44;1,74;1475;62,07;347,6;398,2
280;5;37,47;34,17;1,67;1480;56,4;334,4;-2637,1
281;5;38,99;33,97;1,53;1485;44,48;306,6;-5553,7
282;5;40,34;33,87;1,35;1490;25,42;270,7;-7176,1
283;5;41,41;33,75;1,08;1495;5,57;215,3;-11079,6
284;;42,33;33,71;0,92;1500;0;184,2;-6233,6
285;;43;33,62;0,68;1505;0;135,2;-9794,1
286;;43,53;33,54;0,54;1510;0;107,2;-5600,6
287;;43,92;33,47;0,4;1515;0;79,2;-5590,9
288;;44,19;33,4;0,28;1520;0;55,8;-4692,2
289;;44,38;33,34;0,2;1525;0;39,8;-3187,1
290;;44,52;33,26;0,16;1530;0;32,2;-1520,1
291;;44,63;33,18;0,14;1535;0;27,2;-1009,2
292;;44,73;33,09;0,13;1540;0;26,9;-59,1
293;;44,83;32,98;0,15;1545;0;29,7;565
294;;44,94;32,88;0,15;1550;0;29,7;0
295;;45,06;32,77;0,16;1555;0;32,6;565,1
296;;45,18;32,68;0,15;1560;0;30;-511,5
297;;45,29;32,61;0,13;1565;0;26,1;-784,6
298;;45,37;32,53;0,11;1570;0;22,6;-689,9
299;;45,38;32,52;0,01;1595;0;0,6;-882,5
300;;45,38;32,51;0,01;1600;0;2;286,9
301;;45,37;32,36;0,15;1605;0;30,1;5613,3
302;;45,4;32,21;0,15;1620;0;10,2;-1324,6
303;;45,47;32,08;0,15;1630;0;14,8;456,7
304;;45,54;31,98;0,12;1635;0;24,4;1929,7
305;;45,64;31,89;0,13;1645;0;13,5;-1095,9
306;;45,72;31,81;0,11;1650;0;22,6;1834,8
307;;45,82;31,76;0,11;1660;0;11,2;-1144,7
308;;45,94;31,71;0,13;1670;0;13;182
309;;46,05;31,66;0,12;1680;0;12,1;-91,7
310;;46,14;31,6;0,11;1690;0;10,8;-126,6
311;;46,27;31,55;0,14;1700;0;13,9;311,2
312;;46,38;31,5;0,12;1705;0;24,2;2047,5
313;;46,5;31,43;0,14;1715;0;13,9;-1027,4
314;;46,64;31,36;0,16;1725;0;15,7;176
315;;46,72;31,29;0,11;1730;0;21,3;1121,6
316;;46,84;31,2;0,15;1740;0;15;-626
317;;46,96;31,15;0,13;1745;0;26;2200
318;;47,04;31,07;0,11;1750;0;22,6;-674,5
319;;47,15;31,03;0,12;1755;0;23,4;156,4
320;;47,23;30,96;0,11;1760;0;21,3;-429,8
321;;47,33;30,91;0,11;1765;0;22,4;220,1
322;;47,42;30,85;0,11;1770;0;21,6;-145,5
323;6;47,52;30,78;0,12;1780;39,59;12,2;-942,7
324;6;47,6;30,7;0,11;1790;47,41;11,3;-89,3
325;6;47,43;30,64;0,18;1815;56,3;7,2;-164,1
326;6;47,23;30,63;0,2;1820;57,77;40;6567,8
327;6;46,98;30,65;0,25;1825;59,43;50,2;2022
328;6;46,69;30,71;0,3;1830;60,9;59,2;1813,7
329;6;46,33;30,81;0,37;1835;62,27;74,7;3099,6
330;6;45,94;30,97;0,42;1840;63,73;84,3;1916,6
331;6;45,5;31,16;0,48;1845;65,1;95,9;2309
332;6;45,05;31,38;0,5;1850;66,57;100,2;865,2
333;6;44,6;31,6;0,5;1855;68,23;100,2;0
334;6;44,18;31,82;0,47;1860;69,4;94,8;-1070,7
335;6;43,81;32,02;0,42;1865;70,38;84,1;-2141,4
336;6;43,52;32,2;0,34;1870;71,16;68,3;-3171
337;6;43,31;32,37;0,27;1875;71,36;54;-2845,4
338;6;43,19;32,51;0,18;1880;71,75;36,9;-3431,8
339;6;43,14;32,63;0,13;1885;72,04;26;-2175,6
340;6;43,25;32,76;0,17;1895;73,22;17;-897,1
341;6;43,43;32,82;0,19;1900;73,7;37,9;4183,6
342;6;43,68;32,85;0,25;1905;74,1;50,4;2482,3
343;6;44,03;32,82;0,35;1910;74,29;70,3;3979,6
344;6;44,45;32,75;0,43;1915;74,29;85,2;2980,4
345;6;44,91;32,67;0,47;1920;74,39;93,4;1644,5
346;6;45,4;32,56;0,5;1925;74,49;100,4;1411,6
347;6;45,87;32,46;0,48;1930;74,29;96,1;-867
348;6;46,33;32,34;0,48;1935;74,1;95,1;-205
349;6;46,75;32,2;0,44;1940;73,61;88,5;-1307
350;6;47,13;32,06;0,4;1945;73,31;81;-1510
351;6;47,45;31,9;0,36;1950;72,83;71,6;-1887,9
352;6;47,7;31,76;0,29;1955;72,73;57,3;-2849,6
353;6;47,88;31,65;0,21;1960;72,53;42,2;-3023,2
354;6;48,01;31,58;0,15;1965;72,34;29,5;-2532,1
355;6;48,02;31,57;0,01;1990;71,36;0,6;-1158,6
356;6;48,02;31,58;0,01;1995;71,36;2;286,9
357;6;47,95;31,69;0,13;2000;71,85;26,1;4815,4
358;6;47,87;31,77;0,11;2005;72,04;22,6;-689,9
359;6;47,76;31,87;0,15;2015;72,73;14,9;-776,1
360;6;47,67;31,96;0,13;2020;72,83;25,5;2118
361;6;47,57;32,06;0,14;2030;73,51;14,1;-1131,4
362;6;47,49;32,14;0,11;2035;73,9;22,6;1697,1
363;6;47,48;32,15;0,01;2060;75,07;0,6;-882,5
364;6;47,48;32,16;0,01;2070;75,17;1;43,4
365;6;47,49;32,16;0,01;2075;75,07;2;200
366;6;47,7;32,13;0,21;2080;74,78;42,4;8085,3
367;6;47,93;32,07;0,24;2085;74,39;47,5;1022,6
368;6;48,17;31,99;0,25;2090;73,61;50,6;611,4
369;6;48,45;31,9;0,29;2095;72,43;58,8;1645,1
370;6;48,75;31,8;0,32;2100;71,07;63,2;884,8
371;6;49,07;31,71;0,33;2105;69,79;66,5;647,5
372;6;49,39;31,62;0,33;2110;68,43;66,5;0
373;6;49,69;31,54;0,31;2115;67,84;62,1;-877,3
374;6;49,97;31,47;0,29;2120;67,45;57,7;-874,6
375;6;50,21;31,42;0,25;2125;67,35;49;-1738,6
376;6;50,4;31,38;0,19;2130;67,45;38,8;-2039,5
377;6;50,53;31,35;0,13;2135;67,84;26,7;-2429,9
378;6;50,43;31,5;0,18;2160;75,37;7,2;-778,9
379;6;50,3;31,62;0,18;2165;76,74;35,4;5634,5
380;6;50,17;31,72;0,16;2170;77,71;32,8;-516,2
381;6;50,05;31,79;0,14;2175;78,3;27,8;-1003,5
382;6;49,95;31,86;0,12;2180;78,69;24,4;-674,4
383;6;49,89;31,96;0,12;2190;78,98;11,7;-1275,1
384;6;50,02;32,05;0,16;2205;78,1;10,5;-74,7
385;6;50,2;32,07;0,18;2210;76,83;36,2;5136,1
386;6;50,44;32,09;0,24;2215;75,27;48,2;2389
387;6;50,7;32,08;0,26;2220;73,61;52;774,4
388;6;50,98;32,06;0,28;2225;71,75;56,1;820,8
389;6;51,23;32,03;0,25;2230;70,28;50,4;-1156,8
390;6;51,48;32;0,25;2235;69,31;50,4;0
391;6;51,71;31,98;0,23;2240;68,52;46,2;-837
392;6;51,91;31,98;0,2;2245;68,23;40;-1234,7
393;6;52,08;31,97;0,17;2250;68,23;34,1;-1188,2
394;6;51,97;32,08;0,16;2275;70,38;6,2;-1113,4
395;6;51,86;32,19;0,16;2280;70,09;31,1;4978
396;6;51,77;32,28;0,13;2285;69,01;25,5;-1131,4
397;6;51,82;32,38;0,11;2305;9,48;5,6;-993,3
398;;51,97;32,49;0,19;2310;0;37,2;6322,4
399;;52,11;32,52;0,14;2315;0;28,6;-1713,3
400;;52,29;32,53;0,18;2320;0;36,1;1484
401;;52,56;32,55;0,27;2325;0;54,1;3618,5
402;;52,92;32,58;0,36;2330;0;72,2;3620,3
403;;53,33;32,6;0,41;2335;0;82,1;1969,6
404;;53,74;32,61;0,41;2340;0;82;-14,6
405;;54,12;32,63;0,38;2345;0;76,1;-1183,8
406;;54,43;32,62;0,31;2350;0;62;-2814,6
407;;54,68;32,59;0,25;2355;0;50,4;-2334,7
408;;54,85;32,51;0,19;2360;0;37,6;-2556,4
409;;54,98;32,42;0,16;2365;0;31,6;-1190,8
410;;55,08;32,32;0,14;2370;0;28,3;-667,7
411;;55,17;32,22;0,13;2375;0;26,9;-275,4
412;;55,26;32,12;0,13;2380;0;26,9;0
413;;55,35;32,04;0,12;2385;0;24,1;-564,8
414;;55,44;31,93;0,14;2390;0;28,4;868,4
415;;55,54;31,82;0,15;2395;0;29,7;261,4
416;;55,64;31,72;0,14;2400;0;28,3;-289,6
417;;55,76;31,61;0,16;2405;0;32,6;854,7
418;;55,87;31,53;0,14;2410;0;27,2;-1070,9
419;;56,01;31,48;0,15;2415;0;29,7;505,8
420;;56,13;31,42;0,13;2420;0;26,8;-579,9
421;;56,28;31,41;0,15;2425;0;30,1;646,8
422;;56,39;31,37;0,12;2430;0;23,4;-1331,4
423;;56,52;31,33;0,14;2440;0;13,6;-980,8
424;7;56,61;31,25;0,12;2455;44,67;8;-371,6
425;7;56,65;31,14;0,12;2475;57,58;5,9;-108,8
426;7;56,53;31,05;0,15;2495;67,45;7,5;82,4
427;7;56,39;31,03;0,14;2500;69,99;28,3;4156,9
428;7;56,19;31,04;0,2;2505;72,34;40;2353,1
429;7;55,96;31,08;0,23;2510;74,49;46,7;1328,1
430;7;55,67;31,12;0,29;2515;76,34;58,5;2371,7
431;7;55,35;31,18;0,33;2520;77,91;65,1;1313,2
432;7;54,99;31,26;0,37;2525;79,28;73,8;1728,2
433;7;54,61;31,36;0,39;2530;80,74;78,6;966,2
434;7;54,24;31,46;0,38;2535;81,82;76,7;-386,5
435;7;53,91;31,57;0,35;2540;82,89;69,6;-1417
436;7;53,63;31,67;0,3;2545;83,77;59,5;-2021,2
437;7;53,43;31,74;0,21;2550;84,65;42,4;-3417
438;7;53,29;31,81;0,16;2555;85,43;31,3;-2214,9
439;7;53,36;31,93;0,14;2570;87,49;9,3;-1469,6
440;7;53,55;32;0,2;2575;87,98;40,5;6247,1
441;7;53,84;32,06;0,3;2580;88,37;59,2;3746,3
442;7;54,23;32,1;0,39;2585;88,86;78,4;3836,2
443;7;54,67;32,12;0,44;2590;88,95;88,1;1936,3
444;7;55,1;32,12;0,43;2595;89,15;86;-418,2
445;7;55,51;32,08;0,41;2600;89,15;82,4;-722,1
446;7;55,87;32,04;0,36;2605;89,05;72,4;-1989,2
447;7;56,18;32;0,31;2610;88,95;62,5;-1985,8
448;7;56,45;31,93;0,28;2615;88,76;55,8;-1345,7
449;7;56,67;31,87;0,23;2620;88,27;45,6;-2035,7
450;7;56,88;31,79;0,22;2625;87,49;44,9;-132,5
451;7;57,08;31,69;0,22;2630;86,31;44,7;-44,6
452;7;57,31;31,59;0,25;2635;84,56;50,2;1087,7
453;7;57,55;31,45;0,28;2640;82,11;55,6;1082
454;7;57,86;31,32;0,34;2645;78,59;67,2;2332,2
455;7;58,18;31,19;0,35;2650;74,29;69,1;369,7
456;7;58,54;31,09;0,37;2655;69,79;74,7;1129,3
